标题,链接,发布时间,内容
真牛逼，我还是先撤了,"https://guba.eastmoney.com/news,300587,1034183565.html",2021-05-14 10:40:56,真牛逼，我还是先撤了
下午还能跌吗？最好是跌到16.35重仓低吸，等待突破。,"https://guba.eastmoney.com/news,300587,1033761873.html",2021-05-13 11:52:37,下午还能跌吗？最好是跌到16.35重仓低吸，等待突破。
卖了,"https://guba.eastmoney.com/news,300587,1034162738.html",2021-05-14 10:23:51,还好怕怕的
这是什么鬼操作,"https://guba.eastmoney.com/news,300587,1034161298.html",2021-05-14 10:22:37,这是什么鬼操作，真成妖了。
6家公司解禁在即，新增11家披露解禁提示性公告（5-14）,"https://guba.eastmoney.com/news,300587,1034058041.html",2021-05-14 08:06:55,"一、今日解禁总量及结构分析
根据交易所安排，5月14日两市共有6家公司的限售股解禁上市流通，解禁数量共计925.87万股，以前一交易日收盘价为标准计算，解禁市值合计达2.6亿元。本日两市解禁数量相较前一交易日减少了13.98亿股，环比降幅达99.34%；解禁市值较前一交易日的243.22亿减少了240.63亿元，环比减少98.93%。
图：近期解禁市值及家数（解禁市值以解禁日前一交易日收盘价计）
【注：解禁当日后日期接‘E’说明解禁市值及家数为按照限售公告、解禁公告预测得出。】
二、今日解禁个股分析
从解禁个股来看，天铁股份（300587）解禁力度最大，今日实际上市流通量占解禁前流通A股比例达0.74%，对流通盘压力较小。按照解禁压力降序排列，今日解禁公司重要数据如下表所示：
表：今日解禁公司重要数据汇总
【注：解禁市值按照解禁日前一交易日收盘价计算】
三、新增解禁提示性公告
从增量数据来看，今日新增11家公司披露限售股份上市流通提示性公告，以公告日前一日收盘价测算，解禁市值合计115.19亿元。按照解禁规模降序排列，今日新披露解禁重要数据如下表所示：
表：今日新披露解禁公司重要数据
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。


展开阅读全文"
橡胶大跌[大笑][大笑][大笑][大笑][大笑]都想多[大笑][大笑][大笑],"https://guba.eastmoney.com/news,300587,1033953936.html",2021-05-13 18:53:32,橡胶大跌都想多
天铁今天走势是拉高出货，明天如果收红盘还有救，如果低开低走，暂时就完蛋了。,"https://guba.eastmoney.com/news,300587,1033923020.html",2021-05-13 16:38:46,天铁今天走势是拉高出货，明天如果收红盘还有救，如果低开低走，暂时就完蛋了。
天铁股份盘中最高18.97元创历史新高，总市值55.99亿元,"https://guba.eastmoney.com/news,300587,1033914188.html",2021-05-13 16:04:24,"5月13日，天铁股份盘中最高价18.97元，股价创历史新高。截至收盘，天铁股份最新价为16.43元，下跌5.68%，全日成交金额达到2.87亿元，换手率6.04%。根据最新收盘价进行计算，天铁股份总市值为55.99亿元。
Choice数据显示，天铁股份自上市以来的前次股价高点出现在2020年10月14日，当日最高价为18.57元(前复权)，后市未能突破前次高点，股价最低于2021年1月8日下探10.88元(前复权)。以最低点为区间起点计算，2021年1月8日至2021年5月13日，天铁股份区间累计涨幅达到40.43%。
横向与市场指数和所属行业进行比较，2021年1月8日至2021年5月13日区间内，创业板指同期下跌6.57%，申万二级行业橡胶同期上涨14.86%。个股表现跑赢创业板指，强于所属申万行业指数。
市场汇总
从全市场来看，5月13日沪深两市共有凯莱英、泰坦科技、震安科技等17只股票价格创历史新高。其中凯莱英股价已连续两日盘中创下历史最高价。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。


展开阅读全文"
明天高开涨停,"https://guba.eastmoney.com/news,300587,1033913121.html",2021-05-13 16:00:39,
明天破位断头杀,"https://guba.eastmoney.com/news,300587,1033888015.html",2021-05-13 14:59:38,明天破位断头杀
