标题,链接,发布时间,内容
大伙儿看一下300418昆仑万维，1/16号的性质好像一样,"https://guba.eastmoney.com/news,002405,899152048.html",2020-01-18 18:14:01,大伙儿看一下300418昆仑万维，1/16号的性质好像一样
那又买错了，都说低开跌停,"https://guba.eastmoney.com/news,002405,899152011.html",2020-01-18 18:11:59,那又买错了，都说低开跌停
高开抛，低开加？还是？,"https://guba.eastmoney.com/news,002405,899151083.html",2020-01-18 17:50:45,高开抛，低开加？还是？
四维图新解禁前不会大涨。,"https://guba.eastmoney.com/news,002405,899151068.html",2020-01-18 17:49:26,四维图新解禁前不会大涨。
高开就跑，低开就加，,"https://guba.eastmoney.com/news,002405,899150965.html",2020-01-18 17:47:31,高开就跑，低开就加，
过完年有3亿多解禁股，现在又来这新闻，小心脏受不了，星期一卖给庄家，大跌在买回来,"https://guba.eastmoney.com/news,002405,899150936.html",2020-01-18 17:45:55,过完年有3亿多解禁股，现在又来这新闻，小心脏受不了，星期一卖给庄家，大跌在买回来
什么都不信小四想留小散星期一过前高收在5天线上.否则拜拜,"https://guba.eastmoney.com/news,002405,899150845.html",2020-01-18 17:44:14,股票
低开是必然，小散看不清真相必恐慌，庄家低位接盘,"https://guba.eastmoney.com/news,002405,899150351.html",2020-01-18 17:29:22,低开是必然，小散看不清真相必恐慌，庄家低位接盘
4个月辛苦变成今天的股价太难了如今又要面对更大...妖怪,"https://guba.eastmoney.com/news,002405,899149886.html",2020-01-18 17:19:15,股票
明天能涨几个点？,"https://guba.eastmoney.com/news,002405,899149709.html",2020-01-18 17:14:22,明天能涨几个点？
说白了有吊用百度和高德没在A股上市只有四维爱买不买,"https://guba.eastmoney.com/news,002405,899149622.html",2020-01-18 17:11:55,说白了有吊用百度和高德没在A股上市 只有四维 爱买不买
没有重量回复一定有问题.开盘小散一起砸盘可能性很大,"https://guba.eastmoney.com/news,002405,899148590.html",2020-01-18 16:47:19,股票
小散的力量在关键点位是海量的.没小散的抬轿.怎么赢利,"https://guba.eastmoney.com/news,002405,899148302.html",2020-01-18 16:39:41,股票
人性就是听其一.小四不动脑的说明.那只能说对钱过不去.重来,"https://guba.eastmoney.com/news,002405,899147892.html",2020-01-18 16:27:25,股票
回应明确点.就不会麻烦否则亏大了重头在来,"https://guba.eastmoney.com/news,002405,899147620.html",2020-01-18 16:22:34,股票
星期一四维图新的股价走势非常关键～～为了利益，一些媒体故意进行错误导向宣传。——,"https://guba.eastmoney.com/news,002405,899147479.html",2020-01-18 16:19:09,"星期一四维图新的股价走势非常关键～～
为了利益，一些媒体故意进行错误导向宣传。
—————— 四维的大股东和二股东腾讯应该联合起来，用股价大涨的实力粉碎这个误导投资者的不良企图！！稳定投资者预期。"
特斯拉发公告是否在给小四打广告.小四回力不到位.否则玩蛋,"https://guba.eastmoney.com/news,002405,899147328.html",2020-01-18 16:15:49,股票
腾讯在自动驾驶领域和地图领域已经很落后了，百度领先了。四谁与百度合作可能更好些，,"https://guba.eastmoney.com/news,002405,899146453.html",2020-01-18 15:52:40,腾讯在自动驾驶领域和地图领域已经很落后了，百度领先了。四谁与百度合作可能更好些，但没有办法了，腾讯入股了。
[图片],"https://guba.eastmoney.com/news,002405,899146413.html",2020-01-18 15:51:33,[图片]
下周多空对决，看谁胜出,"https://guba.eastmoney.com/news,002405,899146200.html",2020-01-18 15:45:27,下周多空对决，看谁胜出
下周多空对决，看谁胜出,"https://guba.eastmoney.com/news,002405,899146201.html",2020-01-18 15:44:34,下周多空对决，看谁胜出
'咱们散户只能持股待涨了吧，一切看主力吧，目前浮盈20%,"https://guba.eastmoney.com/news,002405,899145970.html",2020-01-18 15:39:45,'咱们散户只能持股待涨了吧，一切看主力吧，目前浮盈20%
要跌停了，哈哈,"https://guba.eastmoney.com/news,002405,899145771.html",2020-01-18 15:32:33,要跌停了，哈哈
建议腾讯增资收购四维图新,"https://guba.eastmoney.com/news,002405,899145357.html",2020-01-18 15:21:51,建议腾讯增资收购四维图新
要是主力你还有能力砸到缺口、老子肯定你吓不到任何人割肉,"https://guba.eastmoney.com/news,002405,896071356.html",2020-01-03 22:15:05,还会招来抄底盘
取代谷歌地图，华为与TomTom合作开发自家应用地图,"https://guba.eastmoney.com/news,002405,899143897.html",2020-01-18 14:42:11,"取代谷歌地图，华为与TomTom合作开发自家应用
　　"
四维图新已经说的很明白了，只是一些小散的理解能力有限，四维只为特斯拉提供底层数据,"https://guba.eastmoney.com/news,002405,899127887.html",2020-01-18 09:34:57,"四维图新已经说的很明白了，只是一些小散的理解能力有限，四维只为特斯拉提供底层数据，百度地图是做在线渲染技术,两者没有关系"
这个消息本来以为是利空!原来是个特大利好.本来没那么小散知道的这次免费帮四维卖广,"https://guba.eastmoney.com/news,002405,899142853.html",2020-01-18 14:16:39,这个消息本来以为是利空!原来是个特大利好.本来没那么小散知道的这次免费帮四维卖广告
天天利好，能不能涨几个点，好好回家过年,"https://guba.eastmoney.com/news,002405,899142120.html",2020-01-18 13:59:15,天天利好，能不能涨几个点，好好回家过年
周一敢跌停我就敢买2000股,"https://guba.eastmoney.com/news,002405,899141783.html",2020-01-18 13:51:02,周一敢跌停我就敢买2000股
炸锅了太热闹了,"https://guba.eastmoney.com/news,002405,899139598.html",2020-01-18 12:55:24,炸锅了 太热闹了
估计有人想打压股价，地位拿货,"https://guba.eastmoney.com/news,002405,899139557.html",2020-01-18 12:54:48,估计有人想打压股价，地位拿货
我满仓，不管利好利空，反正是赌，愿赌服输。,"https://guba.eastmoney.com/news,002405,899139285.html",2020-01-18 12:47:45,我满仓，不管利好利空，反正是赌，愿赌服输。
虽然是利空，不知道为啥我感觉周一得大涨……,"https://guba.eastmoney.com/news,002405,899137459.html",2020-01-18 12:06:42,虽然是利空，不知道为啥我感觉周一得大涨……
四维图新主要面向B端用户，不是c端用户，搞清楚概念好吗？新京报记者那篇文章有问题,"https://guba.eastmoney.com/news,002405,899137028.html",2020-01-18 11:58:03,四维图新主要面向B端用户，不是c端用户，搞清楚概念好吗？新京报记者那篇文章有问题，标题，所以在四维图新回复后火速撤稿，不然可以告他。
12月31日才宣布公司为特斯拉独家提供地图服务，现在就变成了两家提供。这再次证明,"https://guba.eastmoney.com/news,002405,899098388.html",2020-01-17 22:11:54,12月31日才宣布公司为特斯拉独家提供地图服务，现在就变成了两家提供。这再次证明，四维高管不是公司运作高手，但是资本运作高手。
这票，牛的地方不止地图服务，因为有牌照，略带自然垄断性质。2020年开始车辆安装,"https://guba.eastmoney.com/news,002405,899136635.html",2020-01-18 11:51:40,这票，牛的地方不止地图服务，因为有牌照，略带自然垄断性质。2020年开始车辆安装胎压监测装置，小四的芯片进入量产了吧，这才更牛的地方，看看某etc的企业，利润怎么爆发的。
此股真是完蛋了,"https://guba.eastmoney.com/news,002405,899136276.html",2020-01-18 11:45:05,特斯拉都说了，可以烧香点蜡了
这篇文章其实讲清了！其实这次特斯拉转向百度影响的是腾讯地图而非四维图新，对四维真,"https://guba.eastmoney.com/news,002405,899132191.html",2020-01-18 10:29:45,这篇文章其实讲清了！其实这次特斯拉转向百度影响的是腾讯地图而非四维图新，对四维真的无关。而腾讯是四维图新的二股东，四维不便明说。
正解,"https://guba.eastmoney.com/news,002405,899128399.html",2020-01-18 09:41:29,正解
吃肉没赶上，挨打倒一顿都不落下。,"https://guba.eastmoney.com/news,002405,899083287.html",2020-01-17 19:53:48,吃肉没赶上，挨打倒一顿都不落下。
深股通大幅减持四维图新…特斯拉改用百度地图…全年业绩亏损严重…市盈率上千倍……此,"https://guba.eastmoney.com/news,002405,899129986.html",2020-01-18 10:01:06,深股通大幅减持四维图新…特斯拉改用百度地图…全年业绩亏损严重…市盈率上千倍……此股完蛋了……退市是肯定的了……
周一暴涨,"https://guba.eastmoney.com/news,002405,899129961.html",2020-01-18 10:00:48,周一暴涨
周一开始到你表演了,"https://guba.eastmoney.com/news,002405,899129917.html",2020-01-18 09:59:54,周一开始到你表演了
突破的前夜,"https://guba.eastmoney.com/news,002405,899129098.html",2020-01-18 09:49:38,突破的前夜
周一高开5个点,"https://guba.eastmoney.com/news,002405,899128715.html",2020-01-18 09:45:59,周一高开5个点
这股不确定性太多，风险太大，鸡狗不想做，都是游资在搞一日游行情，外面好股多的是，,"https://guba.eastmoney.com/news,002405,898993092.html",2020-01-17 13:46:23,这股不确定性太多，风险太大，鸡狗不想做，都是游资在搞一日游行情，外面好股多的是，不要在这里浪费时间和生命！
一首凉凉送给四维，本以为能搭上特斯拉的顺风车，没想到半路被甩客了。,"https://guba.eastmoney.com/news,002405,899125834.html",2020-01-18 08:58:45,一首凉凉送给四维，本以为能搭上特斯拉的顺风车，没想到半路被甩客了。
高开高走，有一波了，小四还是牛，不管你用什么地图，反正底层核心都是我的，特斯拉这,"https://guba.eastmoney.com/news,002405,899123859.html",2020-01-18 08:21:51,高开高走，有一波了，小四还是牛，不管你用什么地图，反正底层核心都是我的，特斯拉这隐藏的好广告
不涨有不涨的道理，这股破了好多人的发财梦哦。周一大战。,"https://guba.eastmoney.com/news,002405,899123739.html",2020-01-18 08:19:50,不涨有不涨的道理，这股破了好多人的发财梦哦。周一大战。
这波广告真优秀！优秀！,"https://guba.eastmoney.com/news,002405,899123444.html",2020-01-18 08:13:26,这波广告真优秀！优秀！
2001年1月1日，国家测绘地理信息局(当时名为国家测绘局)将我国第一张导航电子,"https://guba.eastmoney.com/news,002405,899121190.html",2020-01-18 07:57:59,2001年1月1日，国家测绘地理信息局(当时名为国家测绘局)将我国第一张导航电子地图资质颁发给了四维图新导航信息技术有限公司。
