标题,链接,发布时间,内容
买点再现,"https://guba.eastmoney.com/news,002030,355384650.html",2016-04-28 14:05:43,买点再现
我笨鸟先飞！,"https://guba.eastmoney.com/news,002030,355316818.html",2016-04-28 13:05:39,我笨鸟先飞！
李大笑在我面前就像一坨屎，他都能号称专家，我生不逢时啊，当今小人得志无能之辈爬上,"https://guba.eastmoney.com/news,002030,355306635.html",2016-04-28 12:53:52,李大笑在我面前就像一坨屎，他都能号称专家，我生不逢时啊，当今小人得志无能之辈爬上高台公平不复存在。
颇为下行，不听我话的留守儿童，要大亏了！,"https://guba.eastmoney.com/news,002030,355211225.html",2016-04-28 11:16:44,颇为下行，不听我话的留守儿童，要大亏了！
扯淡！——说什么机构减仓出货。,"https://guba.eastmoney.com/news,002030,355052649.html",2016-04-28 09:45:34,扯淡！——说什么机构减仓出货。其实是庄家在高抛低吸，摊低成本，震荡折磨散户！
呼吁关闭股指期货,"https://guba.eastmoney.com/news,002030,355210707.html",2016-04-28 11:16:26,紧急呼吁
30破了就麻烦了,"https://guba.eastmoney.com/news,002030,355203947.html",2016-04-28 11:12:02,30破了就麻烦了
在这股吧里谁也别信，在这混的绝大部份是拖,"https://guba.eastmoney.com/news,002030,355067365.html",2016-04-28 09:53:30,达安这股票里面故事太多了，各路主力都有，人人都想坏点，我也不想再说下去了
还装，我先整点，股市缺钱我捐点,"https://guba.eastmoney.com/news,002030,355083607.html",2016-04-28 10:02:25,还装，我先整点，股市缺钱我捐点
昨天都在冲头部有的在早上有的午盘有的下午有的尾盘,"https://guba.eastmoney.com/news,002030,355061279.html",2016-04-28 09:50:23,总之个股昨天的最高点至少跌10%今天大盘应该类似上周三，本来昨天该跌，狡猾的机构来了次完美的诱多
达安股友，买股就是买未来，基因检测是来人类治病必然手段，如同身份证一样，就像现时,"https://guba.eastmoney.com/news,002030,352736330.html",2016-04-27 13:16:06,达安股友，买股就是买未来，基因检测是来人类治病必然手段，如同身份证一样，就像现时汽车进入4S店师傅用电脑一检测就清楚明白了，你自己说达安基因会怎么样
要走就一次性走 跌停板走,"https://guba.eastmoney.com/news,002030,353314513.html",2016-04-27 23:57:27,要走就一次性走 跌停板走
达安基因，持续下跌，可以抄底了吗？,"https://guba.eastmoney.com/news,002030,339421467.html",2016-04-22 15:04:58,达安基因
28.5附近止跌,"https://guba.eastmoney.com/news,002030,353288953.html",2016-04-27 23:30:51,28.5附近止跌
我欲乘风归去，又恐狂风扫落叶而又起，高处不胜寒，扣住就半年，[鼓掌][鼓掌][鼓,"https://guba.eastmoney.com/news,002030,353164742.html",2016-04-27 21:38:17,我欲乘风归去，又恐狂风扫落叶而又起，高处不胜寒，扣住就半年，
