标题,链接,发布时间,内容
买点再现,"https://guba.eastmoney.com/news,002030,355384650.html",2016-04-28 14:05:43,买点再现
高盛：深港通若5月出台 A股纳入MSCI机会将明显提高,"https://guba.eastmoney.com/news,002030,355375821.html",2016-04-28 13:57:28,"【高盛：深港通若5月出台 A股纳入MSCI机会将明显提高】高盛：如果未来1个月宣布深港通，A股纳入MSCI指数的概率会有较明显的提高，否则概率仍为50%。纳入MSCI料大幅提升A股人气和投资者兴趣，但对流动性的影响不大，纳入生效时所带来的资金流入或仅160亿美元。
(华尔街见闻7x24直播 不止是快) http://live.wallstreetcn.com/"
我笨鸟先飞！,"https://guba.eastmoney.com/news,002030,355316818.html",2016-04-28 13:05:39,我笨鸟先飞！
李大笑在我面前就像一坨屎，他都能号称专家，我生不逢时啊，当今小人得志无能之辈爬上,"https://guba.eastmoney.com/news,002030,355306635.html",2016-04-28 12:53:52,李大笑在我面前就像一坨屎，他都能号称专家，我生不逢时啊，当今小人得志无能之辈爬上高台公平不复存在。
颇为下行，不听我话的留守儿童，要大亏了！,"https://guba.eastmoney.com/news,002030,355211225.html",2016-04-28 11:16:44,颇为下行，不听我话的留守儿童，要大亏了！
扯淡！——说什么机构减仓出货。,"https://guba.eastmoney.com/news,002030,355052649.html",2016-04-28 09:45:34,扯淡！——说什么机构减仓出货。其实是庄家在高抛低吸，摊低成本，震荡折磨散户！
呼吁关闭股指期货,"https://guba.eastmoney.com/news,002030,355210707.html",2016-04-28 11:16:26,紧急呼吁
30破了就麻烦了,"https://guba.eastmoney.com/news,002030,355203947.html",2016-04-28 11:12:02,30破了就麻烦了
全球首台癌症早期检测设备“诞生”,"https://guba.eastmoney.com/news,002030,355122968.html",2016-04-28 10:23:27,"全球首台癌症早期检测设备“诞生”
2016年04月28日 08:42:41 金融界股票

　　据中新社4月27日消息，中国一科研团队27日宣称，研制出全球首台适用于人体全身的临床全数字“正电子发射断层成像仪”（简称“PET”），可精准检测到最小尺寸病灶，大幅提前癌症发现时间。该成果来源于华中科技大学首个国家重大科学仪器设备开发项目“超高分辨率PET的开发和应用”，由武汉光电国家实验室（筹）研究员、华中科技大学生命学院教授谢庆国带队完成。
　　谢庆国介绍，首台人体临床“全数字PET”的空间分辨率已达到2.2毫米，比当前进口设备的最高水平提升近一倍。该机器有望推动面向癌症早期检测的PET检查向普及化发展。
　　生物医药及高性能医疗器械是《中国制造2025》十大领域中的重点领域。据介绍，由中国自主创新的“全数字PET”，已成为业界大势所趋。
　　华中科技大学旗下上市公司：华工科技(000988,买入)；达安基因(002030,买入)、聚光科技(300203,买入)、天瑞仪器(300165,买入)等为相关癌症检测器材概念股。"
在这股吧里谁也别信，在这混的绝大部份是拖,"https://guba.eastmoney.com/news,002030,355067365.html",2016-04-28 09:53:30,达安这股票里面故事太多了，各路主力都有，人人都想坏点，我也不想再说下去了
央行力推“紧箍咒”：民间借贷“基本法”要来了,"https://guba.eastmoney.com/news,002030,355096078.html",2016-04-28 10:09:01,"央行力推“紧箍咒”：民间借贷“基本法”要来了

文 / 一财网 2016年04月28日 09:12:50 4
本文作者为李德尚玉，来源于第一财经，授权华尔街见闻发表，未经授权不得转载。

随着非存款类放贷组织“有法可依”渐行渐近，民间借贷向规范化又迈进了一步。

近年来，非法集资问题日益突出，以e租宝、泛亚为标志的大案要案频发。在此背景下，27日由银监会牵头的处置非法集资部际联席会议备受关注。在会议上，央行力推《非存款类放贷组织条例》(下称《条例》)出台，称引导民间借贷规范化，推动非存款类放贷组织依法合规经营是解决民间借贷领域非法集资频发的关键举措之一。接受《第一财经日报》采访的多位业内人士表示，《条例》的出台将有助于统一监管标准，通过规范相关业务降低金融风险。

“坚决遏制非法集资蔓延势头，坚决守住不发生系统性和区域性风险底线。”上述会议称，今年下半年将开展全国非法集资风险专项整治行动，对民间投资理财、P2P网络借贷、农民合作社、房地产、私募基金等重点领域和民办教育、地方交易场所、相互保险等风险点进行全面排查。

“部委专项整治恰逢其时，非法集资目前无法可依、定义不清，已经造成诸多刑事案件，亟须整顿并立法。”上海新望闻达律师事务所高级合伙人、副主任宋一欣对《第一财经日报》表示，民间借贷长期游离于正规金融框架之外，缺乏法律规范和有效监管是非法集资案件多发的重要原因之一。非存款类放贷组织作为多层次信贷市场的重要组成部分，需要进一步规范。

央行力推《非存款类放贷组织条例》出台

《第一财经日报》记者从上述部际联席会议方获悉，与会部委包括最高法、最高检、教育部、工信部、公安部、住建部、农业部、商务部、央行、工商总局、林业局、旅游局、证监会及保监会。

在会议上，央行对民间借贷领域非法集资情况和互联网金融背景下的非法集资活动进行了阐述，指出需要尽快出台《条例》加强对非存款类放贷组织及其放贷业务的监督管理，有效防范民间借贷领域非法集资活动。

央行表示，民间借贷长期游离于正规金融框架之外，缺乏法律规范和有效监管是非法集资案件多发的重要原因之一。主要表现在，一是大量以放贷为业的组织和个人，没有受到恰当的法律规范，缺乏与放贷业务实质相统一的市场准入和业务经营规则，导致违法违规经营现象突出，甚至触及非法吸收公众存款和非法集资的红线。二是有关部门因缺乏明确的监管依据和监管规则，难以对放贷业务进行全面有效监管，不利于非法集资案件的预防和早期发现。

民生银行首席研究员温彬对《第一财经日报》记者表示，非存款类放贷组织快速发展对于建立多层次金融体系、发展普惠金融、满足“三农”和小微企业融资需求具有重要意义。目前，对不同类型的非存款类放贷组织，还没有建立统一的国家级法律或行政法规进行规范，容易出现监管风险。因此，《条例》的出台有助于监管标准统一，防范潜在金融风险。

所谓非存款类放贷组织，是指有经营放贷业务但不吸收公众存款的机构。《条例》适用于在中国境内发生的、不吸收公众存款的放贷业务。

目前，商业银行、汽车金融公司、消费金融公司等机构的放贷行为，已有规范并受到相应监管。但是，以小额贷款公司为代表的多数非存款类贷款人，正面临法律规范缺位、法律地位不明等问题，亟待解决监管空白的问题。

“应严控小贷公司的无序发展，提高进入壁垒，对资质、风险承受能力等不达标的小贷公司，工商、税务等部门不对其发放营业执照。”民生证券宏观研究员李奇霖对《第一财经日报》记者表示，对市场内的小贷公司，要在资金来源与使用、风控等方面加强监管，对不符合要求的公司实施警告、暂停营业等行政手段，迫使其整改。最后，对于小贷公司及其管理层跑路等违法行为，要加大惩罚力度。

中国银行战略发展部副总经理宗良此前告诉本报记者，中国金融体系中，民间借贷监管相对弱，比如小贷公司，某些贷款措施不是特别规范，可能引发金融风险，《条例》出台后可通过规范相关业务降低风险。

实际上，在2013年和2014年，《条例》已连续两年被列入国务院立法计划。2015年8月国务院法制办公室对《条例》公开征求意见。央行去年发布的《中国金融稳定报告(2015)》也提到要深化金融体制改革，完善金融法制体系建设，积极推动《条例》的制定出台。

根据公开的征求意见稿，《条例》对不吸收存款的放贷业务实施牌照管理，明确非存款类放贷组织的法律定位和市场准入资格，规定业务规则和监管框架，明确地方政府的监督管理和风险处置职责。同时，对目前民间借贷中涉及的重点问题，如不得吸收公众存款、不得掠夺性放贷、不得以非法手段催收债务等作出规范。

《条例》还规定了监督管理部门的主要工作职责。包括加强对非存款类放贷组织的监督管理，查处其违法、违规行为，依法撤销有重大违法违规行为的非存款类放贷组织;建立非存款类放贷组织违法行为举报奖励制度;开展行业统计分析和评估工作;处置重大风险事件;对行业自律组织的活动进行监督等。

去年全国非法集资各项数据达历年峰值

央行此次力推《条例》出台背后，是非常严峻的非法集资形势已经引发中央的高度关注。

“据不完全统计，投资理财类非法集资案件占全部新发案件总数的30%以上。非法集资假意迎合社会公众对个人资产保值增值的理财需求，犯罪手法不断升级，泛理财化特征明显。”上述部际联席会议办公室负责人杨玉柱在座谈会上称，目前非法集资组织结构愈加严密，专业化程度高，假借迎合国家政策，打着“经济新业态”、“金融创新”等幌子，以具体项目、债权标的、担保物为依托，业务流程、合同文本专业规范，噱头更新颖、迷惑性更强，使投资者辨别难度加大。“泛理财化”已成为民间投融资中介机构、P2P网络借贷、房地产、私募股权投资等行业或领域非法集资的重要特征。

根据部际联席会议办公室统计，2015年全国非法集资新发案数量、涉案金额、参与集资人数同比分别上升71%、57%、122%，达历年最高峰值，跨省、集资人数上千人、集资金额超亿元案件同比分别增长73%、78%、44%，特别是以e租宝、泛亚为代表的重大案件涉案金额几百亿，涉及几十万人，波及全国绝大部分省份，规模之大、膨胀速度之快前所未有。

宋一欣对本报称，各地民间融资活动存在突出问题，大量经营放贷业务的机构缺乏有效监管，民间融资领域非法集资案件高发，存在较大风险隐患。民间借贷长期游离于正规金融框架之外，缺乏法律规范和有效监管是非法集资案件多发的重要原因之一。国家层面的专项整治行动已是应有之义。

2015年国务院曾就非法集资多次召开专题会议，并下发了《国务院关于进一步做好防范和处置非法集资工作的意见》。27日的会议指出，未来落实《意见》将成为今后一段时期的重要工作，为此将从五个方面重点落实工作：第一，将进一步落实地方政府责任。第二，有效落实部门责任，强化行业监管。第三，建立全方位监测预警体系，实现打早打小。第四，开展多层次宣传教育活动，加强广告管理。第五，建立完善法律制度，着力推动案件处置。

此外，在监测预警体系方面，部际联席会议将加强非法集资监测预警工作，专项部署督促各地区构建立体化、社会化、信息化的监测预警体系。
展开阅读全文"
还装，我先整点，股市缺钱我捐点,"https://guba.eastmoney.com/news,002030,355083607.html",2016-04-28 10:02:25,还装，我先整点，股市缺钱我捐点
昨天都在冲头部有的在早上有的午盘有的下午有的尾盘,"https://guba.eastmoney.com/news,002030,355061279.html",2016-04-28 09:50:23,总之个股昨天的最高点至少跌10%今天大盘应该类似上周三，本来昨天该跌，狡猾的机构来了次完美的诱多
