标题,链接,发布时间,内容
浦东新区将打造300个典型数字化转型应用场景,"https://guba.eastmoney.com/news,603466,1145375954.html",2022-02-23 20:26:30,"可惜腊鸡不停大宗折价交易
"
两口合计持有56%多，不减没人抬这个轿子。辛坚持是负责任的表现。,"https://guba.eastmoney.com/news,603466,1145374440.html",2022-02-23 20:20:19,两口合计持有56%多，不减没人抬这个轿子。辛坚持是负责任的表现。
发现一个好玩的事,"https://guba.eastmoney.com/news,603466,1145340545.html",2022-02-23 17:50:50,今天大宗交易买的席位，在2019年7月到10月底一直大宗交易300679，当时价格19元左右，一年多后300679价格到达59，603466会咋样你们猜吧。
$风语筑(SH603466)$从高点35元多跌到当下22元多，跌幅已近30%之多,"https://guba.eastmoney.com/news,603466,1145375760.html",2022-02-23 20:25:41,$风语筑(SH603466)$  从高点35元多跌到当下22元多，跌幅已近30%之多，今天又见大宗交易，真令人悲哀！最起码在这个位置还有大小非在抛，证明还没到真正的底部，所以下挡缺口一定会补，寻底还在进行中。
$风语筑(SH603466)$心好阴这个瞅鼻不死，这股没救，OMG,"https://guba.eastmoney.com/news,603466,1145372257.html",2022-02-23 20:11:55,$风语筑(SH603466)$  心好阴这个瞅鼻不死，这股没救，OMG
$风语筑(SH603466)$股减持没完没了,"https://guba.eastmoney.com/news,603466,1145367393.html",2022-02-23 19:52:56,$风语筑(SH603466)$  股减持没完没了
$风语筑(SH603466)$明天走了，亏30个点抗不住了,"https://guba.eastmoney.com/news,603466,1145353251.html",2022-02-23 18:52:40,$风语筑(SH603466)$  明天走了，亏30个点抗不住了
武陵源区召开文旅产业创新发展座谈会,"https://guba.eastmoney.com/news,603466,1145361215.html",2022-02-23 19:27:28,"$风语筑(SH603466)$  
2月22日，武陵源区委书记，张管局党委书记张龚主持召开文旅产业创新发展座谈会。区人民政府副区长龚兴隆，区委办、区大数据中心、张管局门票管理中心等相关单位负责人，上海风语筑文化科技股份有限公司负责人参加会议。
会议听取了风语筑公司关于灵境张家界元宇宙文旅战略合作产品策划和概念性规划方案汇报。与会人员结合申办全省旅发大会工作，针对目前制约武陵源区文旅产业发展的短板和弱项，围绕推动武陵源区文旅产业高质量发展等内容提出了具有针对性和可操作性的意见和建议。
张龚指出，要以打造“文旅行业标杆”为目标，深耕辖区内特有旅游资源，开发独具特色的旅游文创产品，做到“人无我有、人有我优、人优我特”，提高景区辨识度；要坚持融合发展，进一步统筹谋划，推进“旅游+科技”“旅游+元宇宙”深度融合，为申办全省旅发大会奠定坚实基础。风语筑公司要深入解放思想，进一步细化方案，切实将项目思维向市场思维转变，打造更有吸引力的优质产品，塑造更有冲击力的品牌效应，助推武陵源文旅产业创新发展。"
大宗交易：风语筑成交1066.05万元，折价11.59%（02-16）,"https://guba.eastmoney.com/news,603466,1142728032.html",2022-02-16 18:00:20,"来源：东方财富Choice数据作者：财智星
2022年2月16日，风语筑发生了2笔大宗交易，总成交49.4万股，成交金额1066.05万元，成交均价21.58元。当日收盘报价24.41元，涨幅2.39%，成交金额3.73亿元；大宗交易成交金额占当日成交金额2.85%，折价11.59%。
大宗交易明细
序号	成交数量（股）	成交金额（元）	占当日成交额（%）	成交价（元）	收盘价（元）	折溢率（%）	买方	卖方
1	40.00万	863.20万	2.31	21.58	24.41	-11.59	中国银河证券股份有限公司上海五莲路证券营业部	中信建投证券股份有限公司上海市华灵路证券营业部
2	9.40万	202.85万	0.54	21.58	24.41	-11.59	安信证券股份有限公司佛山北滘证券营业部	中信建投证券股份有限公司上海市华灵路证券营业部
数据来源：Choice数据

2月16日，欣旺达、普丽盛、北方稀土、韵达股份、康龙化成等公司均发生大宗交易，具体情况如下表：
沪深两市大宗交易一览（2022-02-16）
证券代码	证券简称	成交笔数	成交均价（元）	收盘价（元）	平均折溢率（%）	成交总数量（股）	成交总金额（元）	占当日成交额（%）
300207	欣旺达	1	33.00	35.42	-6.83	1163.00万	3.84亿	56.59
300442	普丽盛	1	37.00	41.10	-9.98	424.50万	1.57亿	1371.66
600111	北方稀土	6	43.08	46.15	-6.65	310.00万	1.34亿	2.12
002120	韵达股份	17	17.34	18.41	-5.81	588.00万	1.02亿	72.05
300759	康龙化成	1	116.04	116.98	-0.80	70.00万	8122.80万	11.06
数据来源：Choice数据
（注：当日成交金额指竞价交易的成交金额，不包括大宗交易成交的部分）
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
（文章来源：东方财富Choice数据）[点击查看原文]
#热点追踪#
展开阅读全文"
$风语筑(SH603466)$明天不仅仅要吃面，还要加个蛋，核蛋！[哭][哭],"https://guba.eastmoney.com/news,603466,1145362967.html",2022-02-23 19:34:33,$风语筑(SH603466)$  明天不仅仅要吃面，还要加个蛋，核蛋！
