标题,链接,发布时间,内容
NB 你就往死了砸！ 同归于尽大不了！,"https://guba.eastmoney.com/news,300332,729683650.html",2017-11-18 08:44:04,NB 你就往死了砸！ 同归于尽大不了！
开始供暖了，雾霾该严重了，天豪该涨了,"https://guba.eastmoney.com/news,300332,729642010.html",2017-11-17 22:50:45,开始供暖了，雾霾该严重了，天豪该涨了
同志们坚持住啊，不能把廉价筹码交出去,"https://guba.eastmoney.com/news,300332,729486454.html",2017-11-17 14:48:15,坚持不出
请公司解释下从10月17日至今一个月时间里跌去20%的理由！,"https://guba.eastmoney.com/news,300332,729311312.html",2017-11-17 10:04:52,请公司解释下从10月17日至今一个月时间里跌去20%的理由！
有本事你同我跌停。跌到五元我再入五万股。不赚钱不出来。你主力去死吧,"https://guba.eastmoney.com/news,300332,729461557.html",2017-11-17 14:19:14,有本事你同我跌停。跌到五元我再入五万股。不赚钱不出来。你主力去死吧
请问，咱公司获得湖北国资的支持，照理应该在湖北有深耕之势，为何不见湖北有ppp大,"https://guba.eastmoney.com/news,300332,725161175.html",2017-11-03 16:11:00,【问】请问，咱公司获得湖北国资的支持，照理应该在湖北有深耕之势，为何不见湖北有ppp大单入囊？ 【答】天壕环境：您好，湖北国资为公司的战略投资者股东之一，公司仍在探索与之的合作模式，期望在设立产业基金、项目投资等方面发挥协同作用。感谢您的关注！¶¶2017-11-03 16:11:00 §
砸盘坚决!貌似有意做空!不碰为妙!,"https://guba.eastmoney.com/news,300332,729483488.html",2017-11-17 14:45:03,毫无抵抗的下跌真可怕!
天壕环境=天坑环境，建议公司该名,"https://guba.eastmoney.com/news,300332,729537410.html",2017-11-17 16:25:11,天坑就是无底洞!
年底之前还是能上8元的，根据新会计准则，湖南国资委等几个定增方应该用“交易性金融,"https://guba.eastmoney.com/news,300332,729496052.html",2017-11-17 14:59:46,年底之前还是能上8元的，根据新会计准则，湖南国资委等几个定增方应该用“交易性金融资产”来核算他们的持股，如果年底之前上不了定增价，那湖南国资委的报表将出现巨额亏损，其领导会被问责，而天壕为了维护与投资方，尤其是官方的关系，他必须在年底之前站上定增价，所以说，现在是个套利机会
大股东质押的怎么还没爆仓？？？？？,"https://guba.eastmoney.com/news,300332,729484936.html",2017-11-17 14:46:35,大股东质押的怎么还没爆仓？？？？？
王祖锋就等你减持完股价才不跌。快抛。,"https://guba.eastmoney.com/news,300332,729431749.html",2017-11-17 13:42:51,王祖锋就等你减持完股价才不跌。快抛。
哭晕在厕所,"https://guba.eastmoney.com/news,300332,729486629.html",2017-11-17 14:48:28,哭晕在厕所
使劲往下砸，砸到ST砸到破产,"https://guba.eastmoney.com/news,300332,729471118.html",2017-11-17 14:30:59,使劲往下砸，砸到ST砸到破产
大家拨打01062215518转证券部,"https://guba.eastmoney.com/news,300332,729327157.html",2017-11-17 10:22:41,大家拨打01062215518转证券部
这垃圾，大股东有没有质押啊？是不是该爆仓了[大笑][大笑][大笑][大笑],"https://guba.eastmoney.com/news,300332,729464095.html",2017-11-17 14:22:23,这垃圾，大股东有没有质押啊？是不是该爆仓了
真是天天哀嚎啊,"https://guba.eastmoney.com/news,300332,729462016.html",2017-11-17 14:19:45,真是天天哀嚎啊
今天应该跌停一把了吧,"https://guba.eastmoney.com/news,300332,729454813.html",2017-11-17 14:11:59,今天应该跌停一把了吧
主力铁心打压，不到六元以下绝不买入,"https://guba.eastmoney.com/news,300332,729295749.html",2017-11-17 09:46:27,等待
下周到六元可期,"https://guba.eastmoney.com/news,300332,729441971.html",2017-11-17 13:56:33,主力继续砸盘
这种跌法真不是一般的股票！,"https://guba.eastmoney.com/news,300332,729441488.html",2017-11-17 13:56:01,这种跌法真不是一般的股票！
这只股票再过一个月5块,"https://guba.eastmoney.com/news,300332,729435115.html",2017-11-17 13:47:56,这只股票再过一个月5块
他妈的这样跌法。天豪是不是破产了,"https://guba.eastmoney.com/news,300332,729438101.html",2017-11-17 13:51:53,他妈的这样跌法。天豪是不是破产了
同志们，朋友们，此票到底了吗，没子弹了,"https://guba.eastmoney.com/news,300332,729346263.html",2017-11-17 10:46:19,同志们，朋友们，此票到底了吗，没子弹了
不说话，给大家看一附图，观者有缘,"https://guba.eastmoney.com/news,300332,726162870.html",2017-11-08 10:01:33,1
