股票代码,标题,新闻发布时间,情绪标签,情绪分数
000156,华数传媒子公司购新疆广电10%股权,2015-01-04,neutral,0.9999136924743652
002037,久联发展子公司中标5.3亿元开发建设项目,2015-01-04,neutral,0.9999111890792847
002055,完善公司研发与制造基地 得润电子拟在鹤山建工业园,2015-01-07,neutral,0.9999082088470459
300220,金运激光子公司签订3D打印合作协议,2015-01-08,positive,0.9997503161430359
600057,象屿股份控股股东黑龙江签粮食仓储物流战略合作协议,2015-01-09,neutral,0.9972211122512817
002170,芭田股份与南宁振企签署战略协议 共建火龙果服务平台,2015-01-22,positive,0.9997610449790955
002178,延华智能中标4650万银联三期研发中心智能化项目,2015-01-26,neutral,0.9999117851257324
002364,中恒电气拟斥9000万收购资产并增资,2015-01-29,neutral,0.9999125003814697
300334,津膜科技中标1.12亿西安临潼区污水处理厂总承包项目,2015-01-29,neutral,0.9999135732650757
300190,维尔利深耕垃圾渗滤液处理市场 7523万元预中标成都项目,2015-02-02,neutral,0.9997761845588684
300090,盛运股份中标6593万元餐厨处理领域环保项目,2015-02-04,neutral,0.999911904335022
002519,银河电子中标7613万元户户通工程采购项目,2015-02-09,neutral,0.9999130964279175
600754,锦江股份收购卢浮集团完成交割,2015-03-02,neutral,0.9999113082885742
002320,海峡股份1亿报价中标“德银海”轮,2015-03-12,neutral,0.9999139308929443
600684,中证解读：鹏博士与VIZIO签署战略合作框架协议 搭建全球OTT平台,2015-03-24,neutral,0.9973217844963074
600270,外运发展与义乌市政府签署战略合作框架协议,2015-03-24,positive,0.9997133612632751
300345,红宇新材签战略合作框架协议,2015-04-02,positive,0.9652107357978821
002653,海思科携公司高管设立医疗健康创投基金,2015-04-10,neutral,0.9999074935913086
300187,永清环保预中标 竹埠港重金属污染修复工程,2015-04-15,neutral,0.999908447265625
002203,海亮股份收购浙江海元环境科技有限公司100%股权意向协议,2015-04-20,neutral,0.999909520149231
600398,海澜之家与万达签署战略合作框架协议,2015-04-28,positive,0.9983682036399841
300265,通光线缆中标国网7087万元项目,2015-05-04,neutral,0.9999109506607056
600290,华仪电气中标国网1.23亿元项目,2015-05-08,neutral,0.9999123811721802
300212,易华录与白俄罗斯公司签合作协议,2015-05-11,positive,0.9996931552886963
603077,中证解读：和邦股份签订农业电商协议 项目落地成都,2015-06-12,neutral,0.9920454025268555
002751,易尚展示与关联方签1.3亿建筑工程合同,2015-06-15,neutral,0.999901533126831
601179,中国西电发布公告称中标16.51亿元特高压大单,2015-06-17,neutral,0.9999105930328369
002310,东方园林中标总投资20亿元PPP项目,2015-06-19,neutral,0.9999123811721802
300197,铁汉生态1.72亿元 签署桃花源垸水溪故道水利综合整治工程,2015-06-26,neutral,0.9999111890792847
002583,海能达中标723万美元指挥调度系统,2015-07-07,neutral,0.9998871088027954
300334,津膜科技中标3960万元浙江美欣达印染集团污水零排放项目,2015-07-07,neutral,0.9999134540557861
002266,浙富控股与车猫网签署战略合作协议 13日复牌,2015-07-12,neutral,0.9950010180473328
300367,东方网力拓展家居安防市场,2015-07-14,neutral,0.9998506307601929
000558,莱茵置业加速推进体育产业合作,2015-07-24,positive,0.9997493624687195
002316,键桥通讯子公司中标5345万元施工合同,2015-07-27,neutral,0.9999014139175415
600567,山鹰纸业设立湖北子公司 提升市场占有率,2015-07-31,neutral,0.9995064735412598
002628,成都路桥中标宜宾1.81亿元PPP项目,2015-08-01,neutral,0.9999130964279175
300168,万达信息中标非公立医疗项目 提升医疗云服务范围,2015-08-04,neutral,0.9998980760574341
601186,中国铁建171亿中标成都地铁 BT模式纾解地方资金困局,2015-08-06,neutral,0.9999120235443115
002024,阿里巴巴与苏宁合作将形成丰富商业生态 最终实现共赢,2015-08-11,positive,0.9997745156288147
002296,辉煌科技拟收购拓展产品链 24日复牌,2015-08-21,neutral,0.9999125003814697
001696,宗申动力携手车护宝拓展汽车后市场服务,2015-08-21,neutral,0.9998763799667358
300130,新国都收购美ExaDigm 布局电子支付受理设备国际市场,2015-08-31,neutral,0.9999120235443115
300313,天山生物:推动消费众筹 携手百度网讯、中信信托巨头入场,2015-09-02,neutral,0.9999125003814697
300335,迪森股份拟投资建设生物质成型燃料集中供热项目,2015-09-02,neutral,0.9998748302459717
300164,通源石油拟与相关方收购美国Cutters 96%股权,2015-09-14,neutral,0.9999139308929443
601872,招商轮船与淡水河谷签长期运输协议,2015-09-25,positive,0.9995330572128296
002285,世联行代理销售金额突破3000亿 较去年提前77天,2015-10-08,neutral,0.995118260383606
300335,"迪森股份签署温室气体自愿减排项目战略合作协议
",2015-10-09,positive,0.9997416138648987
300365,恒华科技签订1.2亿元光伏发电工程承包合同,2015-10-19,neutral,0.9996360540390015
600654,中安消:获宁夏2.5亿元智慧医疗合同,2015-10-21,neutral,0.9981088638305664
600645,中源协和与北控医疗展开医疗合作,2015-10-22,neutral,0.9998495578765869
300021,大禹节水牵手以色列公司 进行海外并购投资,2015-10-26,neutral,0.9999074935913086
300359,全通教育获中国移动政企分公司教育类产品研发项目中标通知书,2015-11-09,neutral,0.9999116659164429
300253,卫宁软件3000万元投资互联网医疗公司,2015-11-09,neutral,0.9999113082885742
002729,好利来被认定为高新技术企业 享15%所得税率,2015-11-09,neutral,0.9998645782470703
300372,欣泰电气拟注销武汉欣飞 持股51%,2015-11-12,neutral,0.9999089241027832
000673,解读：当代东方收购中广院线30%股权 完善影视产业链布局,2015-11-27,neutral,0.9999141693115234
603636,南威软件中标8950万元城市安全项目,2015-12-04,neutral,0.9999120235443115
300189,神农基因与高科新农开展农业无人机应用战略合作,2015-12-07,neutral,0.999903678894043
600376,首开股份:与途家网战略合作 盘活房产项目,2015-12-15,neutral,0.9999139308929443
601311,骆驼股份签署战略合作 拓展新能源汽车业务,2015-12-29,positive,0.9997532963752747
002609,捷顺科技与上海交通卡开展战略合作,2016-01-13,neutral,0.9998745918273926
000018,神州长城与国药租赁签署战略合作框架协议,2016-01-22,positive,0.9996815919876099
300376,易事特与江苏广和慧云科技股份有限公司签订战略合作协议,2016-02-04,positive,0.999755322933197
002212,南洋股份中标1.19亿轨道电缆采购项目,2016-02-22,neutral,0.9999129772186279
002721,金一文化涨停 拟收购广东乐源51%股权,2016-03-04,positive,0.6252124905586243
601028,玉龙股份发起设立20亿教育基金,2016-03-22,neutral,0.9999126195907593
300347,泰格医药:6亿元收购捷通泰瑞100%股权 布局医疗器械领域,2016-03-24,neutral,0.9999139308929443
300335,迪森股份签署分布式能源战略合作协议,2016-03-24,positive,0.9997465014457703
300296,利亚德牵手川大智胜 谋求LED与VR技术融合,2016-03-24,neutral,0.9997885823249817
300156,神雾环保：牵手礼瀚投资 构建环保产业金融支持平台,2016-03-30,neutral,0.999901294708252
300356,光一科技预中标重大经营合同,2016-03-31,neutral,0.999889612197876
300207,欣旺达拟与清华大学深研院成立清新电源研究院,2016-04-05,neutral,0.9999122619628906
300264,佳创视讯：与多个合作方落实VR框架协议,2016-04-10,neutral,0.9998637437820435
002116,中国海诚获阿联酋16亿文化纸工程大单,2016-04-11,neutral,0.999576985836029
000558,莱茵体育牵手瑞士CCT 打造冰雪赛事平台,2016-04-12,neutral,0.9999126195907593
300262,巴安水务与淮安开发区管委会签署战略合作协议,2016-04-12,positive,0.9997419714927673
300495,美尚生态预中标2.3亿元景观改造工程,2016-04-15,neutral,0.999901294708252
600867,通化东宝:与腾讯公司签署互联网+战略合作协议,2016-04-21,neutral,0.9998558759689331
600530,交大昂立拟定增募资14.72亿元 完善大健康产业布局,2016-04-25,neutral,0.965179443359375
603778,乾景园林中标金额为9635万元PPP项目,2016-04-28,neutral,0.9999128580093384
002431,棕榈股份拟控股呀诺达景区运营公司,2016-05-05,neutral,0.9999121427536011
600050,中国联通:联通集团与上海市政府签署协议 140亿推进互联网+,2016-05-05,positive,0.9997733235359192
002616,长青集团拟投建生物质发电项目,2016-05-06,neutral,0.9999094009399414
300370,安控科技获多项计算机软件著作权和实用新型专利,2016-05-16,neutral,0.9999074935913086
603568,伟明环保：2.3亿中标界首市生活垃圾焚烧发电PPP项目,2016-05-17,neutral,0.999914288520813
002628,成都路桥联合体拟中标达州至宣汉通道PPP项目,2016-05-18,neutral,0.9999128580093384
002780,三夫户外与内蒙阿尔山市合作 布局户外赛事组织,2016-05-24,neutral,0.9999123811721802
600068,葛洲坝与四川省环保厅战略合作 开拓水务环保市场,2016-06-03,neutral,0.9999033212661743
