股票代码,新闻发布时间,中性分数,积极分数,消极分数
000016,2022-03-01,0.999911904335022,0.0,0.0
000018,2016-01-22,0.4999556541442871,0.4960136115550995,0.0
000018,2016-07-11,0.4998860657215118,0.499796599149704,0.0
000018,2017-05-23,0.999910831451416,0.0,0.0
000038,2016-11-25,0.9999130964279176,0.0,0.0
000048,2019-10-21,0.9994527697563171,0.0,0.0
000100,2021-08-10,0.9999108910560608,0.0,0.0
000156,2015-01-04,0.9999128580093384,0.0,0.0
000413,2019-01-25,0.4999538660049439,0.4825097918510437,0.0
000413,2019-04-09,0.5333942770957947,0.33125547568003333,0.0
000523,2019-05-29,0.9999123811721802,0.0,0.0
000533,2017-01-11,0.9640317559242249,0.0,0.0
000538,2019-05-09,0.9999113082885742,0.0,0.0
000541,2020-04-26,0.999845415353775,0.0,0.0
000558,2015-07-24,0.9999063014984132,0.0,0.0
000558,2016-04-12,0.9998824000358582,0.0,0.0
000564,2017-05-14,0.999911367893219,0.0,0.0
000581,2022-04-22,0.6666034460067749,0.0,0.3331840634346008
000597,2019-07-30,0.9999105930328368,0.0,0.0
000597,2021-02-23,0.999910831451416,0.0,0.0
000605,2016-08-30,0.9999130964279176,0.0,0.0
000612,2017-06-20,0.9998726844787598,0.0,0.0
000625,2017-06-09,0.0,0.9994089603424072,0.0
000630,2020-09-18,0.9999116659164428,0.0,0.0
000672,2016-07-25,0.9998971223831176,0.0,0.0
000673,2015-11-27,0.4999551773071289,0.4989319145679474,0.0
000716,2020-03-24,0.9999077717463175,0.0,0.0
000732,2017-05-26,0.999912679195404,0.0,0.0
000739,2019-08-22,0.0,0.9997660517692566,0.0
000790,2020-10-22,0.9999116659164428,0.0,0.0
000797,2018-01-26,0.9999111890792848,0.0,0.0
000799,2018-12-16,0.999914050102234,0.0,0.0
000826,2016-09-06,0.9999122619628906,0.0,0.0
000869,2017-05-25,0.6665950616200764,0.33323377370834345,0.0
000908,2018-08-30,0.999912977218628,0.0,0.0
000923,2018-11-28,0.9999125003814696,0.0,0.0
000927,2019-11-05,0.9999120235443116,0.0,0.0
000958,2017-05-25,0.4999539256095886,0.4998864233493805,0.0
001696,2015-08-21,0.9999097188313802,0.0,0.0
002024,2015-08-11,0.9999035596847534,0.0,0.0
002027,2017-04-16,0.4999428391456604,0.4998880922794342,0.0
002037,2015-01-04,0.999914050102234,0.0,0.0
002037,2019-06-14,0.9999114274978638,0.0,0.0
002052,2020-04-17,0.9999122619628906,0.0,0.0
002055,2015-01-07,0.0,0.9997193217277528,0.0
002057,2021-03-29,0.9999135732650756,0.0,0.0
002082,2019-06-25,0.0,0.8415324091911316,0.0
002092,2021-04-25,0.9999125003814696,0.0,0.0
002108,2020-10-29,0.9999105930328368,0.0,0.0
002116,2016-04-11,0.998677670955658,0.0,0.0
002121,2016-09-09,0.821512758731842,0.0,0.0
002129,2019-11-11,0.9996439814567566,0.0,0.0
002137,2019-02-28,0.9998812675476074,0.0,0.0
002152,2019-10-10,0.9999117851257324,0.0,0.0
002153,2017-01-16,0.4999558925628662,0.4997853338718414,0.0
002153,2018-02-08,0.4999231100082398,0.4981896579265594,0.0
002157,2019-10-24,0.999914288520813,0.0,0.0
002170,2015-01-22,0.9999045133590698,0.0,0.0
002178,2015-01-26,0.9998732805252076,0.0,0.0
002179,2021-04-29,0.9999123811721802,0.0,0.0
002203,2015-04-20,0.9999104738235474,0.0,0.0
002205,2017-01-19,0.4999555349349976,0.4998821318149566,0.0
002205,2019-08-07,0.9999115467071532,0.0,0.0
002209,2018-10-23,0.9999117851257324,0.0,0.0
002212,2016-02-22,0.9999127388000488,0.0,0.0
002224,2020-06-05,0.999913454055786,0.0,0.0
002226,2020-05-22,0.6869907528162003,0.0,0.2498985081911087
002239,2019-08-05,0.9999125003814696,0.0,0.0
002239,2021-02-04,0.9999113082885742,0.0,0.0
002249,2018-01-17,0.9999116659164428,0.0,0.0
002255,2018-06-11,0.0,0.999763548374176,0.0
002259,2018-06-15,0.9999127388000488,0.0,0.0
002266,2015-07-12,0.4999572038650512,0.4998627007007599,0.0
002285,2015-10-08,0.9997990727424622,0.0,0.0
002293,2017-02-22,0.999869704246521,0.0,0.0
002296,2015-08-21,0.9999085664749146,0.0,0.0
002298,2016-06-13,0.9999130964279176,0.0,0.0
002310,2015-06-19,0.9999125003814696,0.0,0.0
002310,2016-10-13,0.4999558925628662,0.4869050681591034,0.0
002310,2016-12-21,0.9999122619628906,0.0,0.0
002310,2017-02-10,0.999912977218628,0.0,0.0
002310,2017-03-09,0.9999130964279176,0.0,0.0
002310,2017-04-14,0.9999136924743652,0.0,0.0
002310,2017-04-23,0.9999128580093384,0.0,0.0
002310,2017-09-06,0.4999555349349976,0.4998697936534882,0.0
002310,2018-05-22,0.9999135732650756,0.0,0.0
002316,2015-07-27,0.999913215637207,0.0,0.0
002317,2019-08-15,0.9999066591262816,0.0,0.0
002320,2015-03-12,0.9999126195907592,0.0,0.0
002335,2020-07-30,0.9466153383255004,0.0,0.0
002359,2018-12-11,0.0,0.9994877576828004,0.0
002364,2015-01-29,0.9999121427536012,0.0,0.0
002365,2021-11-04,0.9999078512191772,0.0,0.0
002388,2021-07-26,0.9999048709869384,0.0,0.0
002390,2017-05-10,0.9999114274978638,0.0,0.0
002411,2020-10-29,0.9999130964279176,0.0,0.0
002431,2016-05-05,0.9976118803024292,0.0,0.0
002431,2016-07-14,0.9541459381580353,0.0,0.0
002445,2018-08-30,0.6666048765182495,0.0,0.33320581912994385
002460,2017-01-18,0.9999087651570638,0.0,0.0
002481,2020-06-23,0.9998765587806702,0.0,0.0
002489,2020-11-17,0.9999107718467712,0.0,0.0
002506,2017-11-24,0.999666174252828,0.0,0.0
002518,2016-06-06,0.0,0.9990779161453248,0.0
002519,2015-02-09,0.999913454055786,0.0,0.0
002547,2020-07-09,0.7499240040779114,0.0,0.18157944083213806
002551,2016-09-02,0.9999133348464966,0.0,0.0
002557,2020-04-08,0.0,0.9835332036018372,0.0
002559,2018-01-13,0.999873399734497,0.0,0.0
002564,2018-06-25,0.9185006618499756,0.0,0.0
002575,2020-01-14,0.9999122619628906,0.0,0.0
002579,2017-06-14,0.4999274611473084,0.4998287558555603,0.0
002583,2015-07-07,0.9999135732650756,0.0,0.0
002587,2019-12-01,0.9999103546142578,0.0,0.0
002594,2021-02-02,0.9999111890792848,0.0,0.0
002607,2016-06-13,0.9999107122421264,0.0,0.0
002609,2016-01-13,0.9999101758003234,0.0,0.0
002611,2018-10-24,0.9999121427536012,0.0,0.0
002616,2016-05-06,0.9999103546142578,0.0,0.0
002616,2016-11-23,0.0,0.9995519518852234,0.0
002622,2017-05-24,0.9999110698699952,0.0,0.0
002624,2018-01-28,0.9999122619628906,0.0,0.0
002628,2015-08-01,0.999911904335022,0.0,0.0
002628,2016-05-18,0.9999128580093384,0.0,0.0
002653,2015-04-10,0.9999093413352966,0.0,0.0
002665,2019-12-24,0.9997692902882894,0.0,0.0
002665,2020-08-24,0.9999115467071532,0.0,0.0
002678,2016-07-06,0.999890406926473,0.0,0.0
002680,2016-11-08,0.4999518990516662,0.499882310628891,0.0
002702,2019-05-13,0.9999085267384847,0.0,0.0
002717,2016-09-19,0.9999141693115234,0.0,0.0
002717,2016-10-19,0.0,0.9990010857582092,0.0
002717,2016-11-30,0.0,0.9920504689216614,0.0
002717,2018-03-14,0.9999128580093384,0.0,0.0
002717,2018-04-19,0.9999121427536012,0.0,0.0
002717,2018-04-24,0.99982351064682,0.0,0.0
002721,2016-03-04,0.9918349385261536,0.0,0.0
002726,2021-01-08,0.0,0.9993515610694884,0.0
002729,2015-11-09,0.9999135732650756,0.0,0.0
002733,2017-06-02,0.999912679195404,0.0,0.0
002751,2015-06-15,0.0,0.6651982069015503,0.0
002752,2022-09-13,0.9999071657657623,0.0,0.0
002755,2017-02-16,0.9999116659164428,0.0,0.0
002775,2017-03-07,0.0,0.9956860542297364,0.0
002780,2016-05-24,0.999909281730652,0.0,0.0
002781,2017-05-09,0.33330357074737543,0.6663694580396016,0.0
002791,2020-01-14,0.9999110698699952,0.0,0.0
002792,2017-03-06,0.9999144077301024,0.0,0.0
002810,2018-07-27,0.9999128580093384,0.0,0.0
002824,2022-02-21,0.9999104738235474,0.0,0.0
002831,2021-06-15,0.4999526739120484,0.4998866021633148,0.0
002838,2020-01-14,0.999912977218628,0.0,0.0
002840,2019-03-04,0.8300164937973022,0.0,0.0
002841,2019-01-13,0.9999055862426758,0.0,0.0
002873,2019-11-04,0.9999113082885742,0.0,0.0
002899,2021-02-23,0.9990263283252716,0.0,0.0
002902,2021-03-17,0.9999068975448608,0.0,0.0
002907,2022-09-02,0.9999116659164428,0.0,0.0
002971,2021-02-01,0.9999138116836548,0.0,0.0
300001,2016-11-02,0.4999532103538513,0.4998663365840912,0.0
300001,2016-11-17,0.9999016523361206,0.0,0.0
300002,2018-03-19,0.0,0.9997686743736268,0.0
300007,2017-01-18,0.9999120235443116,0.0,0.0
300007,2018-07-03,0.9999111890792848,0.0,0.0
300014,2018-11-27,0.9999014139175416,0.0,0.0
300020,2016-08-16,0.9998116791248322,0.0,0.0
300021,2015-10-26,0.0,0.9997751116752625,0.0
300021,2016-10-18,0.9999074935913086,0.0,0.0
300021,2018-03-13,0.0,0.9995297193527222,0.0
300021,2018-04-26,0.4999558925628662,0.4998843967914582,0.0
300026,2020-05-13,0.9999144077301024,0.0,0.0
300027,2018-12-11,0.9999111890792848,0.0,0.0
300037,2017-05-15,0.9999120235443116,0.0,0.0
300037,2018-09-25,0.999912977218628,0.0,0.0
300045,2019-10-28,0.0,0.9997743964195251,0.0
300055,2017-10-26,0.9998973608016968,0.0,0.0
300058,2017-07-07,0.9999114274978638,0.0,0.0
300065,2017-12-05,0.9999113082885742,0.0,0.0
300068,2017-11-14,0.999913215637207,0.0,0.0
300070,2016-11-08,0.6666073401769002,0.333258052666982,0.0
300072,2017-08-03,0.9999114274978638,0.0,0.0
300072,2018-03-28,0.9999138116836548,0.0,0.0
300072,2018-05-28,0.0,0.9996150732040404,0.0
300075,2016-08-21,0.9998609721660614,0.0,0.0
300075,2017-12-05,0.9999117851257324,0.0,0.0
300090,2015-02-04,0.999913215637207,0.0,0.0
300091,2016-12-08,0.43250057101249695,0.4983813166618347,0.0
300094,2016-07-22,0.9996997117996216,0.0,0.0
300094,2018-10-24,0.6665983994801838,0.33199046055475867,0.0
300108,2018-01-03,0.9998737573623656,0.0,0.0
300110,2019-04-03,0.9999090433120728,0.0,0.0
300116,2017-02-20,0.33329864343007404,0.3324361642201741,0.33318577210108435
300116,2017-03-08,0.6666039625803629,0.33325968186060584,0.0
300116,2017-05-22,0.0,0.9995697140693665,0.0
300118,2018-01-23,0.0,0.9461557865142822,0.0
300122,2019-05-23,0.9999096393585205,0.0,0.0
300123,2017-04-12,0.9999126195907592,0.0,0.0
300124,2020-05-14,0.9999027252197266,0.0,0.0
300130,2015-08-31,0.9999115467071532,0.0,0.0
300131,2016-06-17,0.0,0.8135011792182922,0.0
300133,2017-02-10,0.9999115467071532,0.0,0.0
300133,2018-12-06,0.9998738765716552,0.0,0.0
300143,2017-08-01,0.9999115467071533,0.0,0.0
300145,2016-11-30,0.9999116659164428,0.0,0.0
300145,2016-12-27,0.99991112947464,0.0,0.0
300145,2017-11-13,0.9999135732650756,0.0,0.0
300146,2017-05-23,0.0,0.9997376799583436,0.0
300152,2017-06-13,0.9990573525428772,0.0,0.0
300156,2016-03-30,0.4999492764472962,0.4998871386051178,0.0
300162,2019-07-29,0.999914526939392,0.0,0.0
300164,2015-09-14,0.999908983707428,0.0,0.0
300168,2015-08-04,0.9996832609176636,0.0,0.0
300173,2018-04-10,0.0,0.9797333478927612,0.0
300174,2019-11-06,0.9999113082885742,0.0,0.0
300175,2019-04-02,0.9999081492424012,0.0,0.0
300176,2019-10-12,0.9999111890792848,0.0,0.0
300177,2016-08-01,0.9999058246612548,0.0,0.0
300187,2015-04-15,0.9999011754989624,0.0,0.0
300189,2015-12-07,0.7221966981887817,0.0,0.0
300190,2015-02-02,0.9998992681503296,0.0,0.0
300197,2015-06-26,0.9999125003814696,0.0,0.0
300197,2016-12-12,0.9998879432678224,0.0,0.0
300197,2016-12-23,0.9999121427536012,0.0,0.0
300197,2017-04-11,0.9999130964279176,0.0,0.0
300197,2017-06-21,0.9998888969421388,0.0,0.0
300198,2017-06-29,0.9999116659164428,0.0,0.0
300198,2018-08-01,0.7998996853828431,0.0,0.19992049932479858
300199,2017-09-14,0.9999016523361206,0.0,0.0
300202,2017-07-12,0.999914288520813,0.0,0.0
300202,2018-10-08,0.999913454055786,0.0,0.0
300207,2016-04-05,0.9999045133590698,0.0,0.0
300210,2016-09-22,0.999913215637207,0.0,0.0
300210,2019-10-15,0.999914526939392,0.0,0.0
300212,2015-05-11,0.9957640171051024,0.0,0.0
300218,2017-11-01,0.999912977218628,0.0,0.0
300220,2015-01-08,0.9998912811279296,0.0,0.0
300220,2019-12-16,0.499955952167511,0.4998849332332611,0.0
300222,2017-03-15,0.9999062617619833,0.0,0.0
300223,2017-06-07,0.9999103546142578,0.0,0.0
300223,2019-07-30,0.9999042749404908,0.0,0.0
300225,2017-08-22,0.9999105930328369,0.0,0.0
300225,2020-05-29,0.9999127388000488,0.0,0.0
300230,2018-05-10,0.9999144077301024,0.0,0.0
300236,2017-08-03,0.9999060233434042,0.0,0.0
300253,2015-11-09,0.9999113082885742,0.0,0.0
300255,2017-03-10,0.9999126195907592,0.0,0.0
300262,2016-04-12,0.999910831451416,0.0,0.0
300262,2017-06-15,0.4999557733535766,0.499889224767685,0.0
300262,2018-01-02,0.999910831451416,0.0,0.0
300264,2016-04-10,0.9999062418937682,0.0,0.0
300265,2015-05-04,0.0,0.9996826648712158,0.0
300265,2016-07-08,0.9999138116836548,0.0,0.0
300266,2017-12-06,0.0,0.999705731868744,0.0
300272,2017-08-09,0.9999120235443116,0.0,0.0
300281,2017-01-10,0.7907528281211853,0.0,0.0
300281,2018-07-30,0.999744951725006,0.0,0.0
300294,2018-07-13,0.4999551773071289,0.499841570854187,0.0
300296,2016-03-24,0.4999421834945678,0.4989731013774872,0.0
300313,2015-09-02,0.999899665514628,0.0,0.0
300321,2018-05-15,0.9999094009399414,0.0,0.0
300328,2017-03-13,0.978045791387558,0.0,0.0
300334,2015-01-29,0.9999113082885742,0.0,0.0
300334,2015-07-07,0.9999102354049684,0.0,0.0
300335,2015-09-02,0.9998125433921814,0.0,0.0
300335,2015-10-09,0.4999472498893738,0.4998867213726044,0.0
300335,2016-03-24,0.9530030488967896,0.0,0.0
300336,2017-12-04,0.49995356798172,0.4924452602863312,0.0
300338,2016-12-20,0.9996780157089232,0.0,0.0
300342,2018-07-19,0.9996919333934784,0.0,0.0
300343,2017-04-24,0.9999141693115234,0.0,0.0
300345,2015-04-02,0.4998703300952912,0.4993949234485626,0.0
300347,2016-03-24,0.9999072551727294,0.0,0.0
300348,2017-06-26,0.9998987913131714,0.0,0.0
300356,2016-03-31,0.999913215637207,0.0,0.0
300356,2016-12-14,0.9999141693115234,0.0,0.0
300359,2015-11-09,0.9999077320098876,0.0,0.0
300362,2016-12-09,0.4999553561210632,0.499291479587555,0.0
300362,2017-01-10,0.9999116659164428,0.0,0.0
300362,2018-11-09,0.6654512484868367,0.0,0.3332053422927856
300363,2017-01-26,0.9999123811721802,0.0,0.0
300363,2018-05-18,0.4999549388885498,0.4998846352100372,0.0
300364,2018-06-20,0.9999114274978638,0.0,0.0
300365,2015-10-19,0.4999552965164184,0.0,0.37615257501602173
300367,2015-07-14,0.4999547004699707,0.4950831532478332,0.0
300370,2016-05-16,0.9999126195907592,0.0,0.0
300370,2020-03-16,0.0,0.0,0.999572455883026
