                  均值        中位数         标准差          最小值         最大值
ARE         4.762186   5.478450   12.983217  -131.814000  113.058400
OPM        -5.675178   7.835250  170.400189 -3547.792600  129.281300
CR          2.318245   1.538300    3.667994     0.108600   54.507400
QR          1.540391   1.012000    2.066374     0.011900   22.057900
ND         52.475096  53.643723   24.307179  -157.854007   97.836867
AT          0.637564   0.522100    0.518790     0.004800    4.753200
sentiment   0.018886   0.200000    0.482189    -0.900000    0.800000
CAR_-1_3   -0.017124  -0.006533    0.134335    -1.033662    0.860759
TR          6.466263   4.761940    5.850183     0.391519   40.146568
Ind        32.008621  31.000000   14.506552     0.000000   65.000000
Soe         0.232662   0.000000    0.422765     0.000000    1.000000
Dual        0.314472   0.000000    0.464558     0.000000    1.000000
Indep       0.381968   0.363636    0.058231     0.222222    0.666667
Lev         0.474497   0.463563    0.242219     0.021631    2.578540
Size        9.807929   9.720108    0.648217     8.289388   12.159305
Big4        0.924569   1.000000    0.264228     0.000000    1.000000
