股票代码,原文,标题,新闻当天日总市值,新闻当天日流通市值,新闻发布时间,新闻实际来源,新闻来源备注,原文长度,情感分数,年报资产报酬率（%）,年报资产报酬率TTM（%）,年报营业利润率（%）,流动比率（%）,速动比率（%）,净资产负债率（%）,年报总资产周转率（次）,年报总资产周转率TTM（次）,资产负债率（%）,年报非流动资产/总资产（%）,情感分数2
000156,"华数传媒(000156)周日晚间公告称，其全资子公司浙江华数传媒资本管理有限公司与金石投资有限公司在12月30日签署股权转让协议，华数资本以自有资金1.36亿元收购后者转让的新疆广电网络股份有限公司10%股权，共计2929.29万股。

　　新疆广电负责全疆有线电视网络运营，在全疆各地州所在城市和主要县市共设有16家分公司和6家营业部。2013年度净利润为6999.38万元，2014年1-11月净利润为7047.27万元。

　　公司表示，此次收购新疆广电网络部分股权，可进一步巩固双方平台、业务、资源、用户及技术的全方位紧密合作关系。入股新疆广电，有利于推进公司“新网络和新媒体”的战略布局，进一步提升公司行业地位及核心竞争力。",华数传媒子公司购新疆广电10%股权,,,2015-01-04,全景网,,317,4.0,5.6577,4.0693,17.8081,3.4528,3.433,36.943,0.3136,0.3136,26.9583,40.0182,4
002037,"久联发展1月4日晚间公告称，公司于2014年12月30日收到公司下属全资子公司新联爆破集团关于汇川区九节滩至汇川大道城市骨干道及片区开发建设项目的中标通知书，项目总投资约5.3亿元。

　　据介绍，项目建设内容为：土石方场平，含土石方爆破、挖运等，建设工期为1年。公司表示，合同的履行对公司2014年度的经营业绩无影响，将为公司下一会计年度带来积极影响。子公司新联爆破集团从资金、人员、技术等方面进行了充分的准备，具备履行合同的能力。",久联发展子公司中标5.3亿元开发建设项目,,,2015-01-04,上海证券报,,217,6.0,4.0469,3.9167,3.4687,0.8489,0.7985,304.0417,0.3933,0.3933,72.1263,48.5089,4
002055,"得润电子7日公告，公司拟在广东省鹤山市建设运营得润工业园项目，以进一步扩大公司产能和规模，完善公司研发与制造基地的战略性布局。

　　1月6日，得润电子与鹤山市工业城发展管理办公室签署《鹤山市得润工业园项目投资协议书》，得润电子将在鹤山市建设运营“得润工业园”项目。据悉，项目计划分三期建设，建成后项目总占地约500亩，总建筑面积约40万平方米。

　　公司方面表示，协议项目的实施符合得润电子的长远发展战略，有利于解决公司快速发展所带来生产场地与生产设施不足的问题，完善公司产品研发与制造基地的战略性布局，进一步扩大公司产能和规模，推进实施公司内部资源的整合，合理利用和调配各生产基地产能，有效降低经营成本，发挥产品资源整合优势和生产效益，提升经营效益及公司综合竞争实力，为公司未来长远发展积聚后劲并打下坚实基础。",完善公司研发与制造基地 得润电子拟在鹤山建工业园,,,2015-01-07,上海证券报,,358,19.6,3.1448,2.5541,1.9199,1.1927,0.8869,214.8023,0.6906,0.6906,67.4284,33.3139,19
300220,"金运激光1月8日晚间公告称，公司控股子公司武汉落地创意文化传播有限公司（简称“落地创意”）1月8日与遨杰贸易（上海）有限公司（简称“遨杰贸易”）签署合作协议。双方将通过业务合作与创新，扩大3D打印在先进制造领域的应用范围。

　　根据协议，遨杰贸易授予落地创意在中国大陆地区相应区域代理其产品销售及售后服务的资质，并将为落地创意提供代理其旗下相关设备的销售及售前，售后技术支持和服务的培训。同时，遨杰贸易努力协助落地创意在中国打造先进的3D打印客户体验应用和示范基地；为落地创意实现3D打印解决方案提供必要的支持和协助等。",金运激光子公司签订3D打印合作协议,,,2015-01-08,上海证券报,,261,17.0,-2.7208,-2.5803,-11.2771,2.0128,1.1224,46.6422,0.41,0.41,27.5404,45.3442,16
600057,"象屿股份（600057）9日晚间公告，近日，公司控股股东象屿集团与黑龙江省粮食局签署关于粮食仓储物流和深加工的战略合作协议。

　　双方合作在黑龙江省内合理布局，力争在五年内新建1000万吨粮食仓储能力和300万吨粮食深加工能力，打造全国最大的粮食全产业链经营龙头企业。通过粮食仓储物流与深加工的优势互补，缓解黑龙江省粮食仓容不足的压力，促进农民余粮的顺畅流通和就地转化，优化产业结构，提升产业质量。

　　象屿股份称，公司作为象屿集团旗下农产品供应链业务的主要平台，将有机会获得相关粮食仓储物流项目，完善在黑龙江省的粮食产业链布局，促进农产品供应链业务发展。",象屿股份控股股东黑龙江签粮食仓储物流战略合作协议,,,2015-01-09,证券时报,,280,11.0,4.6007,4.1331,0.8559,1.1159,0.7758,283.3319,2.5559,2.5559,65.5411,28.9619,10
002170,"芭田股份（002170）22日晚间公告，2015年1月21日，公司与南宁振企农业科技开发有限公司就创新品类“全产业链种植模式”，共建“品牌种植服务平台”，推进种植标准化、农资标准化、流通标准化等方面开展全面战略合作签署了《战略合作协议书》。

　　南宁振企被誉为“中国火龙果第一家”，专注种植15年，建设有近2万亩中国最大的火龙果基地，并带动农户数万亩的规模种植，打通了从种源到深加工的全产业链，是广西现代农业示范企业。

　　协议约定，双方在广西共同建设火龙果品类的综合服务平台，改善小、散、弱的种植业态，联合更多机构，打通从种源到种植到加工到渠道的产业链，建立良性生态。芭田将协助振企，整合农资资源，优化农化服务，联合各经销渠道和金融机构，成为种植方案的最全面解决商。芭田将协助振企建立火龙果品类的信息化、物联网和数据平台，建设农技专家和农户合作组织的移动工作系统，建立电子商务对接系统，服务于产业的种植主体。振企将协助芭田，运用其种植资源和影响力，推进芭田在其他品类的种植服务平台的建设。",芭田股份与南宁振企签署战略协议 共建火龙果服务平台,,,2015-01-22,证券时报,,447,27.58,5.7913,5.222,7.4098,0.8363,0.5924,104.1584,0.617,0.617,50.6615,69.6156,27
002178,"延华智能（002178）26日晚间公告，公司近日与上海建工四建集团有限公司（发包人）签署了《建筑工程专业分包施工合同》，确定公司为研发中心工程（中国银联三期）智能化工程项目的承建单位，工期为234天，合同金额为4650.20万元，占公司2013年度经审计营业总收入的5.99%。

据介绍，本次中标项目为中国银联三期研发中心工程，东至园区环路、南临已建成的园区培训中心、西接园区人行广场、北濒园区信息总中心，研发中心项目位于园区信息总中心和培训中心之间，规划占地面积约12000平方米，建筑限高60米，是园区内最高的标志性建筑。总建筑面积约86200平方米，其中地上约19200平方米，地下约67000平方米。

延华智能表示，该项目是继中国外汇交易中心项目、深圳证券交易所营运中心项目、武汉636米绿地国际金融城项目之后公司承接又一国内高端金融办公典范。本次中标，一方面开启了公司与中国银联合作的篇章，另一方面有力巩固了公司在金融办公领域的行业地位，证明了公司服务智慧城市建设与发展的整体综合实力。

",延华智能中标4650万银联三期研发中心智能化项目,,,2015-01-26,证券时报,,452,7.0,7.4064,6.0803,8.9867,1.7182,0.9972,73.6025,0.6428,0.6428,40.1263,31.4264,7
002364,"中恒电气（002364）周四晚间发布公告，公司与北京中恒博瑞数字电力科技有限公司于2014年1月29日与毛建良、林丽关于苏州市普华电气科技有限责任公司及苏州普瑞智能综合服务有限公司签署了《收购框架协议》。

   本次收购主要包含两部分，一是以自有资金3000万元收购普华电气100%的股权，并将普华电气的业务资产增资普瑞智能；二是以6000万元对普瑞智能进行增资后取得其60%的股权。

    公司称，本次购买和增资完成后，普华电气注销，公司或中恒博瑞取得普瑞智能60%的股权。

    以2014年12月31日为评估基准日，普华电气相关业务及资产的预估价值为3000万元。普瑞智能增资总价款的预估价值为9000万元。

    普瑞智能未来三年计划完成目标公司的实际净利润为2015年不低于800万元，2016年不低于2200万元，2017年不低于3500万元或未来三年累计实际净利润不低于6500万元。

    中恒电气表示，本次收购完成后，中恒电气将建立起较完整的电能服务业务体系，并将扩大公司已有产品在用电侧的销售，为公未来司迎接电力体制改革和能源互联网发展迈出坚实的一步。",中恒电气拟斥9000万收购资产并增资,,,2015-01-29,全景网,,495,3.0,9.3292,8.1031,13.7819,2.8616,2.1862,33.6482,0.5923,0.5923,24.3313,33.478,3
300334,"津膜科技1月26日晚间公告称，公司于1月26日收到陕西恒瑞项目管理有限公司发出的《西安市建设工程中标通知书》，确定公司为西安市临潼区绿源市政工程有限公司“临潼区绿源市政工程污水处理厂项目EPC工程总承包（二次招标）”的中标单位，中标金额为11221.18万元，占公司2013年度营业收入的29.38%。
　　根据公告，临潼区绿源市政工程污水处理厂污水处理规模5×104立方米/天，占地约64亩，总投资约16490.60万元；建设内容为：粗格栅及提升泵房；细格栅、沉沙池及超细格栅；A2O＋MBR组合池；紫外线消毒池；鼓风机房及配电室；加药间、机修间及仓库；污泥贮池；污泥脱水间；综合楼、门卫室及大门等附属工程。项目工期为540天，竣工时间为2016年7月9日。
　　津膜科技表示，若公司能够签订正式合同并顺利实施，将对公司2015年度经营业绩产生积极的影响。",津膜科技中标1.12亿西安临潼区污水处理厂总承包项目,,,2015-01-29,上海证券报,,379,4.0,4.3508,3.4584,5.2527,1.7457,1.3827,62.7955,0.3591,0.3591,38.0686,34.5391,4
300190,"1月30日讯，维尔利垃圾渗滤液处理业务再有斩获，预中标成都市万兴环保发电厂垃圾渗沥液处理系统设备采购及服务项目，中标价约7523.36万元。

根据维尔利29日发布的公告，公司被确定为成都市万兴环保发电厂垃圾渗沥液处理系统设备采购及服务项目的中标候选人第一名。项目招标内容包括设备制造和采购、供货、调试、交付使用及培训、服务、指导安装、性能保证等工作内容，以及缺陷责任期和试运行期内工程缺陷修复和质量保修工作等内容，工程处理规模为850t/d。

垃圾渗滤液处理是维尔利的传统主营业务，在该市场占有较大市场份额。根据维尔利2014年三季报，前三季度签订垃圾渗滤液工程建设及运营订单2.1亿元。

一位熟悉维尔利的券商研究员介绍，该公司近期先后斩获多个重要项目，包括6987万元中标沈阳生活垃圾填埋场渗沥液处理工程、1.04亿元获得杭州市餐厨垃圾处理一期工程等。目前在手订单充足，并在垃圾渗沥液处理之外，培育了新的业绩增长点。温岭渗滤液处理项目、三亚渗滤液处理项目以及常州餐厨项目预计都将在2015年投运，为今年的业绩增长奠定良好基础。",维尔利深耕垃圾渗滤液处理市场 7523万元预中标成都项目,,,2015-02-02,其他,,467,-2.0,6.7837,5.8002,14.8329,1.46,0.9506,73.6282,0.4046,0.4046,42.0235,49.4359,-1
