股票代码,新闻发布时间,标题中性分数 (t-4),标题积极分数 (t-4),标题消极分数 (t-4),评论中性分数 (t-4),评论积极分数 (t-4),评论消极分数 (t-4),标题中性分数 (t-3),标题积极分数 (t-3),标题消极分数 (t-3),评论中性分数 (t-3),评论积极分数 (t-3),评论消极分数 (t-3),标题中性分数 (t-2),标题积极分数 (t-2),标题消极分数 (t-2),评论中性分数 (t-2),评论积极分数 (t-2),评论消极分数 (t-2),标题中性分数 (t-1),标题积极分数 (t-1),标题消极分数 (t-1),评论中性分数 (t-1),评论积极分数 (t-1),评论消极分数 (t-1),标题中性分数 (t+0),标题积极分数 (t+0),标题消极分数 (t+0),评论中性分数 (t+0),评论积极分数 (t+0),评论消极分数 (t+0),标题中性分数 (t+1),标题积极分数 (t+1),标题消极分数 (t+1),评论中性分数 (t+1),评论积极分数 (t+1),评论消极分数 (t+1),标题中性分数 (t+2),标题积极分数 (t+2),标题消极分数 (t+2),评论中性分数 (t+2),评论积极分数 (t+2),评论消极分数 (t+2),标题中性分数 (t+3),标题积极分数 (t+3),标题消极分数 (t+3),评论中性分数 (t+3),评论积极分数 (t+3),评论消极分数 (t+3)
000016,2022-03-01,0.9964931905269623,0.0,0.0,0.9999072551727295,0.0,0.0,0.9999040365219116,0.0,0.0,0.9999040365219116,0.0,0.0,0.9998905658721924,0.0,0.0,0.9999134540557861,0.0,0.0,0.5998348593711853,0.3998940229415894,0.0,0.5998340010643005,0.3998940229415894,0.0,0.6249389151732127,0.3316880588730176,0.04165072242418925,0.5416136731704077,0.3307782709598541,0.10536353290081024,0.7918619513511658,0.17107662661322232,0.034448029666111386,0.6884253497781425,0.19625804342072586,0.10330888115126512,0.7440391508015719,0.15141288981293188,0.08194574804017038,0.6960319190314321,0.17707917907021262,0.11223636070887248,0.6676417191823324,0.23696581883863968,0.054728399623524056,0.6426763931910197,0.2595381068460869,0.054728399623524056
000018,2016-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4999508261680603,0.0,0.49969732761383057,0.49995386600494385,0.0,0.49969732761383057,0.9976766705513,0.0,0.0,0.9976766705513,0.0,0.0,0.9999109506607056,0.0,0.0,0.9999109506607056,0.0,0.0,0.9999053478240967,0.0,0.0,0.9999053478240967,0.0,0.0,0.9999055862426758,0.0,0.0,0.9385910630226135,0.0,0.0,0.9998824000358582,0.0,0.0,0.9998824000358582,0.0,0.0
000018,2016-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6432501346834244,0.22465684913819836,0.12406005782465782,0.6430084589988955,0.2578585013266533,0.09181560816303376,0.7660197498642396,0.09194634785161954,0.12563756247547186,0.7568470969378391,0.08283555507659912,0.14428287465995718,0.7646086812019348,0.1419870187254513,0.05880048345117008,0.7646089616943809,0.1419870187254513,0.05880048345117008,NA,NA,NA,NA,NA,NA
000018,2017-05-23,0.9999097585678101,0.0,0.0,0.9998631477355957,0.0,0.0,0.9998838901519775,0.0,0.0,0.9998001456260681,0.0,0.0,0.9998992681503296,0.0,0.0,0.9999052286148071,0.0,0.0,0.9999056458473206,0.0,0.0,0.9999056458473206,0.0,0.0,0.9999099373817444,0.0,0.0,0.9999098777770996,0.0,0.0,0.7052261545544579,0.15616637610253833,0.11898668323244367,0.7137798695337205,0.15811889654114133,0.09516710610616774,0.7779131998618444,0.016647188862164815,0.19261899093786874,0.7452961345513661,0.03220912019411723,0.19816801846027374,0.7773904160217002,0.1110199976850439,0.08807071050008138,0.7706662791746633,0.1840660395445647,0.025086312382309524
000048,2019-10-21,NA,NA,NA,NA,NA,NA,0.9999016523361206,0.0,0.0,0.8689591884613037,0.0,0.0,0.9998925924301147,0.0,0.0,0.9999097585678101,0.0,0.0,0.999909520149231,0.0,0.0,0.999909520149231,0.0,0.0,0.8497707933187485,0.1492033541202545,0.0,0.8497714459896087,0.1369594603776932,0.0,0.8617172161738078,0.0,0.13327617645263673,0.7877224087715149,0.0,0.1914251923561096,0.6139742181851313,0.27797704018079317,0.0712963342666626,0.9938500294318566,0.0,0.0,0.6665908495585123,0.16641758879025778,0.1444678157567978,0.6665786256392797,0.16642369329929352,0.14446271459261575
000100,2021-08-10,NA,NA,NA,NA,NA,NA,0.9999098777770996,0.0,0.0,0.999864935874939,0.0,0.0,0.9999043941497803,0.0,0.0,0.8408964276313782,0.0,0.0,0.0,0.9528912901878357,0.0,0.999900221824646,0.0,0.0,0.0,0.9994956254959106,0.0,0.0,0.9994956254959106,0.0,0.6665925979614258,0.0,0.3331824739774068,0.666598359743754,0.0,0.3331824739774068,0.7143836457457319,0.08395581077409271,0.17830034350388801,0.7170218381305669,0.09794980247548762,0.16124100493104665,NA,NA,NA,NA,NA,NA
000156,2015-01-04,0.7848922652857644,0.0,0.2140990708555494,0.9282816989081246,0.0,0.0713209594999041,0.9998715122540792,0.0,0.0,0.979042629400889,0.0,0.0,0.9991781711578369,0.0,0.0,0.9831627905368805,0.0,0.0,0.9997989237308502,0.0,0.0,0.4999561309814453,0.0,0.4789593517780304,0.9544669270515442,0.0,0.0,0.9998698174953461,0.0,0.0,0.9998658696810404,0.0,0.0,0.9998674988746643,0.0,0.0,0.9998592853546142,0.0,0.0,0.9999122619628906,0.0,0.0,0.9651627441247305,0.0,0.0,0.99986332654953,0.0,0.0
000413,2019-01-25,0.9980478286743164,0.0,0.0,0.9980478286743164,0.0,0.0,0.9998332262039185,0.0,0.0,0.9999065399169922,0.0,0.0,0.9999082088470459,0.0,0.0,0.9999082088470459,0.0,0.0,0.7499229609966278,0.24967215955257416,0.0,0.7499063163995743,0.24967215955257416,0.0,0.8314545635254152,0.06352010849983461,0.08400375227774343,0.8321118104842401,0.09655561177961287,0.06415751864833216,0.944289528661304,0.0,0.050242735279930964,0.9443217946423424,0.0,0.050242735279930964,0.8234380869304433,0.11756831407546997,0.05879975417081047,0.7646141683354097,0.17637541013605454,0.058800977819106155,0.7626176208257676,0.11638419330120087,0.1109575092792511,0.7828532546758652,0.09446059366067251,0.1110210140546163
000413,2019-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5898489147424698,0.3498870611190796,0.04926963746547699,0.5999165058135987,0.3495286345481873,0.04926963746547699,0.8031758044380695,0.08327825646847486,0.09986331826075912,0.8431273603346199,0.052902174182236195,0.0920536438934505,0.9999021291732788,0.0,0.0,0.9998798370361328,0.0,0.0,NA,NA,NA,NA,NA,NA
000523,2019-05-29,0.9993987083435059,0.0,0.0,0.999864935874939,0.0,0.0,0.9999110698699951,0.0,0.0,0.9994089603424072,0.0,0.0,0.9999138116836548,0.0,0.0,0.9999138116836548,0.0,0.0,0.9999147653579712,0.0,0.0,0.9999133348464966,0.0,0.0,0.0,0.0,0.9841169714927673,0.9995241165161133,0.0,0.0,0.999630481004715,0.0,0.0,0.9995313286781311,0.0,0.0,0.9998900592327118,0.0,0.0,0.9998785257339478,0.0,0.0,0.709019617901908,0.16341417034467062,0.11105519864294264,0.8126057651307848,0.05553758806652493,0.08407947089936998
