股票代码,公司简称,新闻当天日总市值,新闻当天日流通市值,新闻发布时间,新闻实际来源,原文长度,情感分数,真实性（虚假1真实0）,年报资产报酬率（%）,年报资产报酬率TTM（%）,年报营业利润率（%）,流动比率（%）,速动比率（%）,净资产负债率（%）,年报总资产周转率（次）,年报总资产周转率TTM（次）,资产负债率（%）,年报非流动资产/总资产（%）,情感分数2,标题中性分数 (t-4)_x,标题积极分数 (t-4)_x,标题消极分数 (t-4)_x,评论中性分数 (t-4)_x,评论积极分数 (t-4)_x,评论消极分数 (t-4)_x,标题中性分数 (t-3)_x,标题积极分数 (t-3)_x,标题消极分数 (t-3)_x,评论中性分数 (t-3)_x,评论积极分数 (t-3)_x,评论消极分数 (t-3)_x,标题中性分数 (t-2)_x,标题积极分数 (t-2)_x,标题消极分数 (t-2)_x,评论中性分数 (t-2)_x,评论积极分数 (t-2)_x,评论消极分数 (t-2)_x,标题中性分数 (t-1)_x,标题积极分数 (t-1)_x,标题消极分数 (t-1)_x,评论中性分数 (t-1)_x,评论积极分数 (t-1)_x,评论消极分数 (t-1)_x,标题中性分数 (t+0)_x,标题积极分数 (t+0)_x,标题消极分数 (t+0)_x,评论中性分数 (t+0)_x,评论积极分数 (t+0)_x,评论消极分数 (t+0)_x,标题中性分数 (t+1)_x,标题积极分数 (t+1)_x,标题消极分数 (t+1)_x,评论中性分数 (t+1)_x,评论积极分数 (t+1)_x,评论消极分数 (t+1)_x,标题中性分数 (t+2)_x,标题积极分数 (t+2)_x,标题消极分数 (t+2)_x,评论中性分数 (t+2)_x,评论积极分数 (t+2)_x,评论消极分数 (t+2)_x,标题中性分数 (t+3)_x,标题积极分数 (t+3)_x,标题消极分数 (t+3)_x,评论中性分数 (t+3)_x,评论积极分数 (t+3)_x,评论消极分数 (t+3)_x,标题中性分数 (t-4)_y,标题积极分数 (t-4)_y,标题消极分数 (t-4)_y,评论中性分数 (t-4)_y,评论积极分数 (t-4)_y,评论消极分数 (t-4)_y,标题中性分数 (t-3)_y,标题积极分数 (t-3)_y,标题消极分数 (t-3)_y,评论中性分数 (t-3)_y,评论积极分数 (t-3)_y,评论消极分数 (t-3)_y,标题中性分数 (t-2)_y,标题积极分数 (t-2)_y,标题消极分数 (t-2)_y,评论中性分数 (t-2)_y,评论积极分数 (t-2)_y,评论消极分数 (t-2)_y,标题中性分数 (t-1)_y,标题积极分数 (t-1)_y,标题消极分数 (t-1)_y,评论中性分数 (t-1)_y,评论积极分数 (t-1)_y,评论消极分数 (t-1)_y,标题中性分数 (t+0)_y,标题积极分数 (t+0)_y,标题消极分数 (t+0)_y,评论中性分数 (t+0)_y,评论积极分数 (t+0)_y,评论消极分数 (t+0)_y,标题中性分数 (t+1)_y,标题积极分数 (t+1)_y,标题消极分数 (t+1)_y,评论中性分数 (t+1)_y,评论积极分数 (t+1)_y,评论消极分数 (t+1)_y,标题中性分数 (t+2)_y,标题积极分数 (t+2)_y,标题消极分数 (t+2)_y,评论中性分数 (t+2)_y,评论积极分数 (t+2)_y,评论消极分数 (t+2)_y,标题中性分数 (t+3)_y,标题积极分数 (t+3)_y,标题消极分数 (t+3)_y,评论中性分数 (t+3)_y,评论积极分数 (t+3)_y,评论消极分数 (t+3)_y
600141,兴发集团,,,2015/1/2,新华网,865,41.46,1,1.0951,1.0513,1.2332,0.4475,0.3283,314.764,0.604,0.604,71.7265,79.2394,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000156,华数传媒,,,2015/1/4,全景网,317,4,0,5.6577,4.0693,17.8081,3.4528,3.433,36.943,0.3136,0.3136,26.9583,40.0182,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7848922652857644,0,0.2140990708555494,0.9282816989081246,0,0.0713209594999041,0.9998715122540792,0,0,0.979042629400889,0,0,0.9991781711578369,0,0,0.9831627905368805,0,0,0.9997989237308502,0,0,0.4999561309814453,0,0.4789593517780304,0.9544669270515442,0,0,0.9998698174953461,0,0,0.9998658696810404,0,0,0.9998674988746643,0,0,0.9998592853546142,0,0,0.9999122619628906,0,0,0.9651627441247305,0,0,0.99986332654953,0,0
002037,久联发展,,,2015/1/4,上海证券报,217,6,0,4.0469,3.9167,3.4687,0.8489,0.7985,304.0417,0.3933,0.3933,72.1263,48.5089,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999107122421265,0,0,0.9999107122421265,0,0,0.9999009966850281,0,0,0.9999035596847534,0,0,0.799930739402771,0,0.19984920024871827,0.799922513961792,0,0.1998440980911255,0.9999102354049683,0,0,0.9997308850288391,0,0,0.9999122619628906,0,0,0.9999135732650757,0,0,0.9998943010965983,0,0,0.9999016920725504,0,0,0.4999542832374573,0,0.4996853172779083,0.49995630979537964,0,0.49979928135871887,0.9976782202720642,0,0,0.9999114274978638,0,0
002453,天马精化,,,2015/1/5,每日经济新闻,3019,-19.739,1,3.2386,3.2534,2.6251,1.1913,0.8505,54.342,0.5431,0.5431,33.4784,60.3453,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002055,得润电子,,,2015/1/7,上海证券报,358,19.6,0,3.1448,2.5541,1.9199,1.1927,0.8869,214.8023,0.6906,0.6906,67.4284,33.3139,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9491036534309387,0,0.9999101161956787,0,0,0.9999117851257324,0,0,0.9998704195022583,0,0,0.9998912413914999,0,0,0.666598399480184,0.3332413236300151,0,0.9931540489196777,0,0,0.9998753269513448,0,0,0.9999098777770996,0,0,0.9999098777770996,0,0,0.9999088446299235,0,0,0.9999068180720011,0,0,0.9999098777770996,0,0,0.9999098777770996,0,0,0.9999016523361206,0,0,0.9999011754989624,0,0
002030,达安基因,,,2015/1/7,其他,2844,18.6199999999999,1,6.7978,5.1758,5.9033,2.1392,1.9937,83.0411,0.6366,0.6366,36.2302,24.8121,18,0.9999045133590698,0,0,0.9999045133590698,0,0,0.7998918414115905,0,0.19991198778152466,0.7998744249343872,0,0.1998951554298401,0.7271891561421481,0.25408522107384424,0,0.8095083019950173,0.09088036147030917,0.08994723450053822,0.9998967051506042,0,0,0.894545066356659,0.09997596144676209,0,0.7004809379577637,0.24957873672246933,0,0.7573857270181179,0.12496297806501389,0,0.7327428301175435,0,0.26549965937932335,0.8564367294311523,0,0.13328011830647787,0.7586179205349514,0.13962495752743312,0.07091606514794487,0.6871300722871508,0.28207205874579294,0,0.9983094930648804,0,0,0.9983094930648804,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300220,金运激光,,,2015/1/8,上海证券报,261,17,0,-2.7208,-2.5803,-11.2771,2.0128,1.1224,46.6422,0.41,0.41,27.5404,45.3442,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998966455459595,0,0,0.9979323148727417,0,0,0.6666081349054972,0.3332161506017049,0,0.6666006644566854,0.33290497461954754,0,0.31126102805137634,0.4998864233493805,0,0.49994707107543945,0.4998864233493805,0,0.9998268485069275,0,0,0.9998268485069275,0,0,0.9999098777770996,0,0,0.9999114274978638,0,0,0.7999240159988403,0.1998414635658264,0,0.799902594089508,0.1998414635658264,0,0.9998204410076141,0,0,0.8258292973041534,0,0,0.9999129772186279,0,0,0.9999129772186279,0,0
600076,青鸟华光,,,2015/1/8,其他,1300,-53.16,1,9.9061,8.931,22.5961,3.0257,1.6395,44.1614,0.3122,0.3122,30.6333,44.4399,-51,0.49995535612106323,0.49988409876823425,0,0.9647240936756134,0,0,0.9998875856399536,0,0,0.8979887962341309,0,0,0.4999544620513916,0.39254799485206604,0,0.9998930096626282,0,0,0.799856173992157,0,0.19990854263305663,0.9999054431915283,0,0,0.7499262094497681,0,0.24989990890026093,0.7498579323291779,0,0.24989746510982513,0.9961110949516296,0,0,0.999901533126831,0,0,0.9999052286148071,0,0,0.9999068975448608,0,0,0.995103508234024,0,0,0.9903576970100403,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600057,象屿股份,,,2015/1/9,证券时报,280,11,0,4.6007,4.1331,0.8559,1.1159,0.7758,283.3319,2.5559,2.5559,65.5411,28.9619,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600850,华东电脑,,,2015/1/11,证券市场周刊,2248,-8.736,1,9.2053,8.3214,5.907,1.5364,1.0013,175.7822,1.405,1.405,61.1104,6.1092,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
