标题,链接,发布时间,内容
砸盘吸筹？利好变利空？尾盘涨停？,"https://guba.eastmoney.com/news,002170,151725158.html",2015-03-12 10:58:24,砸盘吸筹？利好变利空？尾盘涨停？
芭田股份:关于公司发行股份及支付现金购买资产并向特定对象募集配套资金相关事项获得并购重组委审核无条件通过暨公司股票复牌的公告,"https://guba.eastmoney.com/news,002170,151610480.html",2015-03-11 17:31:02,"公告日期：2015-03-12
 深圳市芭田生态工程股份有限公司关于复牌的公告

证券代码: 002170 证券简称: 芭田股份 公告编号:15-15

深圳市芭田生态工程股份有限公司

关于公司发行股份及支付现金购买资产并向特定对象募集配套资金相关事项获得并购重组委审核无条件通过暨公司股票复牌的公告

本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。

特别提示：

公司股票（股票简称：芭田股份，股票代码：002170）于2015年3月12日（星期四）开市起复牌。

2015年3月11日，深圳市芭田生态工程股份有限公司（以下简称“公司”）收到中国证券监督管理委员会（以下简称“中国证监会”）的通知，经中国证监会上市公司并购重组审核委员会于2015年3月11日召开的2015年第16次工作会议审核，公司发行股份及支付现金购买资产并向特定对象募集配套资金相关事项获得无条件通过。

根据相关规定，经公司申请，公司股票（股票简称：芭田股份，股票代码：002170）于2015年3月12日（星期四）开市起复牌。目前，公司尚未收到中国证监会的正式核准文件，待收到中国证监会相关核准文件后将另行公告。敬请广大投资者注意投资风险。

特此公告。

深圳市芭田生态工程股份有限公司董事会

二○一五年三月十二日


[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。"
个个都在犯傻，连续几天拉高，今天主力资金流出比流入多3分2，现在关门，估计开门会,"https://guba.eastmoney.com/news,002170,150346290.html",2015-03-05 00:12:03,个个都在犯傻，连续几天拉高，今天主力资金流出比流入多3分2，现在关门，估计开门会见绿了，还好昨天俺跑了
要命的节奏,"https://guba.eastmoney.com/news,002170,151726613.html",2015-03-12 11:02:08,要命的节奏
往死里整阿,"https://guba.eastmoney.com/news,002170,151723038.html",2015-03-12 10:53:40,往死里整阿
要跌停的节凑，真够恶的，,"https://guba.eastmoney.com/news,002170,151722675.html",2015-03-12 10:52:52,哈哈。12左右等着。
完了，指标全坏了，还搞了一根长上影，撤了，大家保重！,"https://guba.eastmoney.com/news,002170,151690148.html",2015-03-12 09:42:28,完了，指标全坏了，还搞了一根长上影，撤了，大家保重！
一个涨停也不会有，兄弟们别怪我泼冷水，高开五个点以上，我就谢天谢地谢人啦！明天盘,"https://guba.eastmoney.com/news,002170,151617793.html",2015-03-11 18:27:11,一个涨停也不会有，兄弟们别怪我泼冷水，高开五个点以上，我就谢天谢地谢人啦！明天盘后再来看此贴！
漲停敢死队出货!,"https://guba.eastmoney.com/news,002170,151711333.html",2015-03-12 10:29:55,漲停敢死队出货!
刚13.60接了点，希望没事吧，有可能要调整一段时间,"https://guba.eastmoney.com/news,002170,151701307.html",2015-03-12 10:08:18,……
芭田股份停牌了。 我只想说太好， 是利好消息！！大家耐心持有  等待开盘的 一字,"https://guba.eastmoney.com/news,002170,150329976.html",2015-03-04 21:47:43,芭田股份停牌了。 我只想说太好， 是利好消息！！大家耐心持有 等待开盘的 一字板！/微笑
开盘看竞价不稳，分2次清完，13.6又买入少量，看恶庄如何搞。,"https://guba.eastmoney.com/news,002170,151693952.html",2015-03-12 09:51:19,RT
之前我说的一点也没错,"https://guba.eastmoney.com/news,002170,151692164.html",2015-03-12 09:46:58,之前我说的一点也没错
他奶奶的，关了一周就这样报答,"https://guba.eastmoney.com/news,002170,151691110.html",2015-03-12 09:44:49,他奶奶的，关了一周就这样报答
芭田公司员工持股早进了，现在借利好出货，散友别进,"https://guba.eastmoney.com/news,002170,151688104.html",2015-03-12 09:37:40,芭田公司员工持股早进了，现在借利好出货，散友别进
现在进去站岗,"https://guba.eastmoney.com/news,002170,151687162.html",2015-03-12 09:35:00,现在进去站岗
直接开板，量不是很多。,"https://guba.eastmoney.com/news,002170,151682976.html",2015-03-12 09:16:44,大家没机会买入了，
个个都错了，,"https://guba.eastmoney.com/news,002170,151684914.html",2015-03-12 09:26:27,个个都猜错了，竞价不稳，跌。
大北农连续涨停，芭田也是一样。,"https://guba.eastmoney.com/news,002170,150949075.html",2015-03-09 10:34:10,123
芭田股份:第五届董事会第十六次会议(临时)决议公告,"https://guba.eastmoney.com/news,002170,150497772.html",2015-03-05 16:26:21,"公告日期：2015-03-06
　　 深圳市芭田生态工程股份有限公司第五届董事会第十六次会议（临时）决议公告

证券代码: 002170 证券简称: 芭田股份 公告编号:15-14

深圳市芭田生态工程股份有限公司

第五届董事会第十六次会议（临时）决议公告

本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。

深圳市芭田生态工程股份有限公司（以下简称“公司”）第五届董事会第十六次会议（临时）于2015年3月5日上午10:00在公司本部V6会议室以传真方式召开。本次紧急会议的通知于2015年3月4日以电子邮件、电话、微信等方式送达。本届董事会共有9名董事，应参加会议的董事9名，实际参加会议的董事9名，公司3名监事、4名高管列席会议。本次会议的召开程序符合《公司法》、《证券法》及《公司章程》等有关法律法规的规定。经与会董事的审议表决，会议通过了以下决议：

一、审议通过了《关于明确发行股份及支付现金购买阿姆斯100%股权及募集配套资金项目之募集配套资金用途的议案》。

根据公司第五届董事会第十次会议（临时）及2014年第二次临时股东大会审议通过的发行股份及支付现金购买北京世纪阿姆斯生物技术股份有限公司（下称“阿姆斯”或“目标公司”）资产并募集配套资金（下称“本次交易”）的相关决议，本次交易中的募集配套资金用途原约定为“本次发行股份募集的配套资金其中800万元将用于支付本次交易的现金对价、剩余募集资金主要用于补充目标公司的营运资金。实际募集配套资金不足部分，由公司自有资金解决。本次发行股份及支付现金购买资产不以配套融资的成功实施为前提，最终配套融资发行成功与否，不影响本次发行股份及支付现金购买资产行为的实施。”

其中，用于补充目标公司营运资金事项的实际用途是为阿姆斯新厂区的在建工程建设提供资金支持，该等事项在公司与目标公司实际控制人的谈判过程中已经明确，并且阿姆斯的在建工程进度、资金需求情况已在本次交易报告书（草案）中进行了披露。为消除歧义，同时更加规范的使用募集资金，应将配套募集资金

深圳市芭田生态工程股份有限公司第五届董事会第十六次会议（临时）决议公告

用途明确为“用于目标公司新厂区的在建工程项目”。

本次交易的募集配套资金具体用途如下：

用途 金额（万元） 属于《并购重组配套融资问题解答》规

定的具体情形

支付交易对价（向邓 本次并购重组交易中现金对价的支付

800

祖科支付）

支付交易费用（中介 本次并购交易税费

650

机构服务费用）

用于目标公司新厂区 本次并购重组所涉及目标公司在建项目

3,303.33

的在建工程项目 建设安排

合计 4,753.33

表决结果：赞成9票；反对0票；弃权0票。

《关于明确发行股份及支付现金购买阿姆斯100%股权及募集配套资金项目之募集配套资金用途的公告》详见2015年3月6日《证券时报》、《证券日报》、《中国证券报》、《上海证券报》、巨潮资讯网www.cninfo.com.cn。

二、备查文件

第五届董事会第十六次会议（临时）决议。

深圳市芭田生态工程股份有限公司董事会

二一五年三月六日


[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
高层政策连出促农业现代化，农资电商亿万空间打开继中央一号文件之后，2015年,"https://guba.eastmoney.com/news,002170,150899289.html",2015-03-08 23:03:27,"高层政策连出促农业现代化，农资电商亿万空间打开

继中央一号文件之后，2015年政府报告再把农业现代化推到新的高度。报告指出，加快推进农业现代化。坚持“三农”重中之重地位不动摇，加快转变农业发展方式，加快新技术、新品种、新农机研发推广应用。在利好政策的预期和爆炒下，农资电商概念股连续7日飘红，截至发稿时，该板块累计涨幅近15%，今日盘中大北农涨停，诺普信涨近8%，华英农业、司尔特均大幅上涨。
　　作为农业现代化的核心部分，信息化发展题材相对新颖，想象空间也十分巨大。方正证券在最新发布的研报中指出，在即将到来的“十三五”期间，信息化技术将渗透到农业的各个领域，不管是产前的农资电商、农机电商还是产中的产中的农业物联网、生产管理信息化系统，又或者是产后的农产品电商、农产品大宗交易平台，都将充分受益，预计市场空间将超过万亿。
　　事实上，自2008年农资企业试水电商以来，多家农企推出电商领域投资计划。今年以来，阿里布局涉农电商、乐视食品电商平台上线、恒大进军农业，农业互联网渐成巨头关注焦点。然而，在超万亿的农资市场中，很多农业产业链上的企业已经具备互联网基因和潜质，并且拥有优秀产品和庞大的销售网络。
　　具体个股方面，方正证券称投资者可关注互联网化的综合服务平台公司芭田股份、大北农；运用物联网技术的农产品电商平台江淮动力、辉丰股份；还有在2014年斥资7.1亿元神州信息收购中农信达的神州信息以及与全球农机信息化龙头Topcan合作的天泽信息。"
主力真会投机。这时候停牌，可攻可守。,"https://guba.eastmoney.com/news,002170,150808441.html",2015-03-07 20:37:53,农业板块启动。主力停牌。开盘后。若农业股大幅上涨，可顺势补涨。若农业股启动不利，可继续调整。
这可以理解为利好吗，军工？,"https://guba.eastmoney.com/news,002170,150736246.html",2015-03-06 22:49:06,"北京世纪阿姆斯生物技术股份有限公司坐落在中国农业的高等学府--中国农业大学,是一家具有军队背景(一九九六年由中国人民解放军军事医学科学院实验动物中心与香港世纪实业有限公司合资创办),军科院技术(由军科院实验动物中心研发的阿姆斯生物菌种剂和生物肥系列产品,经权威机构鉴定在国内同行业处于领先水平),军人情结(公司首任总经理、总工程师、领导高层均由师团级现役军官担任)的高新技术企业。"
我想问下，芭田股份这次停牌的复牌时间时几号。,"https://guba.eastmoney.com/news,002170,915644968.html",2015-03-10 15:24:00,"我想问下，芭田股份这次停牌的复牌时间时几号。 
芭田股份
芭田股份：您好，谢谢您对芭田的关注，复牌时会有公告，请您随时关注公司指定信息披露媒体的复牌公告。
(来自深交所互动易)答复时间 2015-03-10 15:24:00"
